energy,cross_section,asymmetry_parameter
65.0,1.031,1.121
70.0,0.7709999999999999,0.545
75.0,0.6541,-0.1784
80.0,0.6386,-0.5282
85.0,0.6748,-0.5182
90.0,0.7313,-0.3437
95.0,0.7924,-0.1297
100.0,0.8507,0.07518999999999999
105.0,0.9032,0.257
110.0,0.9484,0.4143
115.0,0.9858,0.5495
120.0,1.015,0.6657
125.0,1.037,0.7659
130.0,1.051,0.8524
132.3,1.056,0.8882
135.0,1.0590000000000002,0.9275
140.0,1.062,0.9929
145.0,1.0590000000000002,1.05
150.0,1.053,1.1
151.4,1.05,1.113
155.0,1.043,1.145
160.0,1.032,1.1840000000000002
165.0,1.018,1.219
170.0,1.003,1.25
175.0,0.9865,1.278
180.0,0.9695,1.304
185.0,0.9519,1.327
190.0,0.9339,1.348
195.0,0.9155,1.367
200.0,0.8968,1.385
205.0,0.878,1.402
210.0,0.8591,1.4169999999999998
215.0,0.8401,1.431
220.0,0.8212,1.444
225.0,0.8024,1.456
230.0,0.7837,1.467
235.0,0.7653,1.4780000000000002
240.0,0.7471,1.4880000000000002
245.0,0.7293,1.497
250.0,0.7118,1.505
255.0,0.6947,1.513
260.0,0.6781,1.521
265.0,0.6618,1.528
270.0,0.6459999999999999,1.534
275.0,0.6305,1.54
280.0,0.6155,1.546
285.0,0.6009,1.551
290.0,0.5868,1.556
295.0,0.5729,1.561
300.0,0.5595,1.565
305.0,0.5464,1.569
310.0,0.5337,1.5730000000000002
315.0,0.5213,1.577
320.0,0.5093,1.58
325.0,0.4975,1.5830000000000002
330.0,0.4861,1.586
335.0,0.4749,1.589
340.0,0.4641,1.592
345.0,0.4535,1.594
350.0,0.4432,1.597
355.0,0.4332,1.599
360.0,0.4234,1.601
380.0,0.3871,1.608
400.0,0.3546,1.6130000000000002
420.0,0.3256,1.617
440.0,0.2996,1.619
460.0,0.2762,1.621
480.0,0.255,1.621
500.0,0.2359,1.621
520.0,0.2185,1.621
540.0,0.2028,1.62
560.0,0.1886,1.618
580.0,0.1756,1.616
600.0,0.1638,1.614
620.0,0.153,1.611
640.0,0.1431,1.609
660.0,0.1341,1.606
680.0,0.1257,1.602
700.0,0.118,1.599
720.0,0.111,1.596
740.0,0.1044,1.592
760.0,0.09842,1.588
780.0,0.09285,1.584
800.0,0.08769,1.58
850.0,0.07633,1.57
900.0,0.06681000000000001,1.56
950.0,0.0588,1.5490000000000002
1000.0,0.05201,1.538
1041.0,0.04719,1.529
1050.0,0.04622,1.527
1100.0,0.04124,1.516
1150.0,0.03694,1.505
1200.0,0.03321,1.494
1250.0,0.02997,1.484
1253.6,0.02975,1.483
1300.0,0.02712,1.473
1350.0,0.024630000000000003,1.462
1400.0,0.02242,1.452
1450.0,0.02046,1.4409999999999998
1486.6,0.019180000000000003,1.4340000000000002
1500.0,0.01873,1.431
