energy,cross_section,asymmetry_parameter
10.2,15.03,0.035480000000000005
15.0,21.62,0.05396
16.7,23.43,0.1194
20.0,25.87,0.2556
21.2,26.27,0.3051
25.0,25.42,0.4572
26.8,23.96,0.5264
30.0,20.31,0.6453
35.0,14.08,0.8229
40.0,9.103,0.9952
40.8,8.46,1.023
45.0,5.698,1.167
50.0,3.4930000000000003,1.344
55.0,2.099,1.526
60.0,1.237,1.71
65.0,0.7161,1.882
70.0,0.4106,1.993
75.0,0.2387,1.934
80.0,0.1485,1.531
85.0,0.1075,0.7262
90.0,0.0954,-0.1348
95.0,0.09998,-0.6369
100.0,0.1136,-0.7679
105.0,0.1315,-0.7028
110.0,0.1509,-0.5669
115.0,0.17,-0.4174
120.0,0.1878,-0.2757
125.0,0.2037,-0.14800000000000002
130.0,0.2177,-0.03493
132.3,0.2234,0.01243
135.0,0.2295,0.06468
140.0,0.2394,0.1527
145.0,0.2473,0.2308
150.0,0.2536,0.3005
151.4,0.2551,0.3187
155.0,0.2583,0.3632
160.0,0.2617,0.4198
165.0,0.2639,0.4712
170.0,0.2651,0.5182
175.0,0.2653,0.5613
180.0,0.2647,0.6011
185.0,0.2634,0.6378
190.0,0.2614,0.6719
195.0,0.259,0.7036
200.0,0.2561,0.7331
205.0,0.2528,0.7607
210.0,0.2492,0.7866
215.0,0.2453,0.8108
220.0,0.2413,0.8336
225.0,0.237,0.855
230.0,0.2327,0.8751
235.0,0.2282,0.8942
240.0,0.2237,0.9121
245.0,0.2192,0.9291
250.0,0.2146,0.9452
255.0,0.2101,0.9605
260.0,0.2056,0.975
265.0,0.2011,0.9888
270.0,0.1966,1.002
275.0,0.1922,1.014
280.0,0.1879,1.026
285.0,0.1836,1.038
290.0,0.1794,1.0490000000000002
295.0,0.1753,1.0590000000000002
300.0,0.1713,1.069
305.0,0.1673,1.078
320.0,0.1559,1.105
340.0,0.1418,1.135
360.0,0.1291,1.161
380.0,0.1176,1.183
400.0,0.1073,1.2009999999999998
420.0,0.09808,1.217
440.0,0.08976,1.231
460.0,0.08227999999999999,1.243
480.0,0.07554,1.253
500.0,0.06947,1.261
520.0,0.064,1.269
540.0,0.05905,1.275
560.0,0.05458,1.28
580.0,0.05053,1.284
600.0,0.04685,1.287
620.0,0.0435,1.29
640.0,0.04045,1.2919999999999998
660.0,0.03768,1.294
680.0,0.03514,1.295
700.0,0.03282,1.296
720.0,0.03069,1.296
740.0,0.02873,1.296
760.0,0.026930000000000003,1.295
780.0,0.02528,1.295
800.0,0.02375,1.294
850.0,0.02041,1.29
900.0,0.01765,1.286
950.0,0.01535,1.28
1000.0,0.01341,1.274
1041.0,0.01205,1.268
1050.0,0.01178,1.267
1100.0,0.01039,1.26
1150.0,0.009206,1.252
1200.0,0.008186,1.244
1250.0,0.007305,1.236
1253.6,0.007245999999999998,1.236
1300.0,0.006540000000000001,1.228
1350.0,0.005873,1.22
1400.0,0.005291,1.212
1450.0,0.004779,1.203
1486.6,0.004444,1.197
1500.0,0.004327,1.195
