energy,cross_section,asymmetry_parameter
10.2,0.017830000000000002,2
15.0,0.05631,2
16.7,0.06052,2
20.0,0.06248,2
21.2,0.06211000000000001,2
25.0,0.05934,2
26.8,0.05765,2
30.0,0.05453,2
35.0,0.04984,2
40.0,0.04562,2
40.8,0.04499,2
45.0,0.04187,2
50.0,0.03853,2
55.0,0.03551,2
60.0,0.03277,2
65.0,0.03028,2
70.0,0.028010000000000004,2
75.0,0.02594,2
80.0,0.02405,2
85.0,0.02234,2
90.0,0.02078,2
95.0,0.01937,2
100.0,0.01808,2
105.0,0.016919999999999998,2
110.0,0.01586,2
115.0,0.0149,2
120.0,0.01403,2
125.0,0.01323,2
130.0,0.0125,2
132.3,0.01218,2
135.0,0.01183,2
140.0,0.01121,2
145.0,0.01065,2
150.0,0.01013,2
151.4,0.009989,2
155.0,0.009646,2
160.0,0.0092,2
165.0,0.008787,2
170.0,0.008403,2
175.0,0.008046,2
180.0,0.007714,2
185.0,0.007405,2
190.0,0.0071150000000000015,2
195.0,0.006845,2
200.0,0.006591,2
205.0,0.006353,2
210.0,0.00613,2
215.0,0.005919,2
220.0,0.00572,2
225.0,0.0055320000000000005,2
230.0,0.005354,2
235.0,0.005186,2
240.0,0.005025,2
245.0,0.004873,2
250.0,0.004727,2
255.0,0.004588,2
260.0,0.004456,2
265.0,0.004329,2
270.0,0.004207,2
275.0,0.00409,2
280.0,0.003978,2
285.0,0.003871,2
290.0,0.003768,2
295.0,0.003668,2
300.0,0.003572,2
305.0,0.00348,2
320.0,0.0032240000000000003,2
340.0,0.002922,2
360.0,0.002661,2
380.0,0.002432,2
400.0,0.002233,2
420.0,0.002057,2
440.0,0.001902,2
460.0,0.001765,2
480.0,0.001643,2
500.0,0.001535,2
520.0,0.001437,2
540.0,0.001348,2
560.0,0.001268,2
580.0,0.001195,2
600.0,0.001128,2
620.0,0.001066,2
640.0,0.00101,2
660.0,0.0009574,2
680.0,0.0009091,2
700.0,0.0008642999999999999,2
720.0,0.0008227,2
740.0,0.0007841,2
760.0,0.0007482,2
780.0,0.0007147,2
800.0,0.0006835,2
850.0,0.0006142000000000001,2
900.0,0.0005554,2
950.0,0.0005049,2
1000.0,0.0004612,2
1041.0,0.0004294,2
1050.0,0.0004229,2
1100.0,0.0003891,2
1150.0,0.0003593,2
1200.0,0.0003328,2
1250.0,0.00030910000000000003,2
1253.6,0.0003076,2
1300.0,0.000288,2
1350.0,0.000269,2
1400.0,0.00025180000000000005,2
1450.0,0.0002363,2
1486.6,0.0002258,2
1500.0,0.0002221,2
