energy,cross_section,asymmetry_parameter
1065.0,0.2079,2
1070.0,0.2269,2
1075.0,0.2401,2
1080.0,0.2481,2
1085.0,0.2522,2
1090.0,0.2536,2
1095.0,0.253,2
1100.0,0.2512,2
1105.0,0.2487,2
1110.0,0.2456,2
1115.0,0.2423,2
1120.0,0.2389,2
1125.0,0.2355,2
1130.0,0.2323,2
1135.0,0.2291,2
1140.0,0.2261,2
1145.0,0.2232,2
1150.0,0.2205,2
1155.0,0.2179,2
1160.0,0.2154,2
1165.0,0.213,2
1170.0,0.2107,2
1175.0,0.2085,2
1180.0,0.2064,2
1185.0,0.2043,2
1190.0,0.2023,2
1195.0,0.2003,2
1200.0,0.1983,2
1205.0,0.1964,2
1210.0,0.1944,2
1215.0,0.1925,2
1220.0,0.1906,2
1225.0,0.1887,2
1230.0,0.1869,2
1235.0,0.185,2
1240.0,0.1832,2
1245.0,0.1813,2
1250.0,0.1795,2
1253.6,0.1782,2
1255.0,0.1777,2
1260.0,0.17600000000000002,2
1265.0,0.1742,2
1270.0,0.1725,2
1275.0,0.1708,2
1280.0,0.1691,2
1285.0,0.1674,2
1290.0,0.1658,2
1295.0,0.1642,2
1300.0,0.1626,2
1305.0,0.161,2
1310.0,0.1595,2
1315.0,0.158,2
1320.0,0.1565,2
1325.0,0.155,2
1330.0,0.1536,2
1335.0,0.1522,2
1340.0,0.1508,2
1345.0,0.1494,2
1350.0,0.14800000000000002,2
1355.0,0.1467,2
1360.0,0.1454,2
1400.0,0.1354,2
1450.0,0.1242,2
1486.6,0.1166,2
1500.0,0.114,2
