energy,cross_section,asymmetry_parameter
1010.0,0.4624,1.499
1015.0,1.209,1.133
1020.0,1.6880000000000002,0.8879
1025.0,1.88,0.7367
1030.0,1.975,0.6366
1035.0,2.016,0.5671
1040.0,2.018,0.5178
1041.0,2.015,0.5098
1045.0,1.996,0.4827
1050.0,1.965,0.4581
1055.0,1.936,0.4415
1060.0,1.91,0.431
1065.0,1.889,0.425
1070.0,1.868,0.4224
1075.0,1.848,0.4225
1080.0,1.827,0.4246
1085.0,1.805,0.4284
1090.0,1.7819999999999998,0.4335
1095.0,1.761,0.4397
1100.0,1.74,0.4468
1105.0,1.72,0.4547
1110.0,1.7009999999999998,0.4631
1115.0,1.683,0.4721
1120.0,1.665,0.4813
1125.0,1.6469999999999998,0.4908
1130.0,1.63,0.5005
1135.0,1.612,0.5103
1140.0,1.595,0.5201
1145.0,1.578,0.5299
1150.0,1.561,0.5397
1155.0,1.545,0.5495
1160.0,1.529,0.5593
1165.0,1.513,0.5691
1170.0,1.4980000000000002,0.5788
1175.0,1.483,0.5884
1180.0,1.4680000000000002,0.598
1185.0,1.454,0.6075
1190.0,1.439,0.6169
1195.0,1.425,0.6261
1200.0,1.411,0.6353
1205.0,1.3969999999999998,0.6443
1210.0,1.383,0.6532
1215.0,1.37,0.6619
1220.0,1.356,0.6705
1225.0,1.3430000000000002,0.6789
1230.0,1.33,0.6872
1235.0,1.317,0.6954
1240.0,1.304,0.7035
1245.0,1.291,0.7114
1250.0,1.279,0.7193
1253.6,1.27,0.7248
1255.0,1.267,0.7269
1260.0,1.255,0.7345
1265.0,1.243,0.742
1270.0,1.231,0.7493
1275.0,1.219,0.7565
1280.0,1.208,0.7636
1285.0,1.196,0.7706
1290.0,1.185,0.7775
1295.0,1.1740000000000002,0.7842
1300.0,1.163,0.7908
1305.0,1.152,0.7973
1350.0,1.0590000000000002,0.851
1400.0,0.9664,0.902
1450.0,0.8838,0.9452
1486.6,0.8288,0.9728
1500.0,0.8098,0.9821
