energy,cross_section,asymmetry_parameter
15.0,0.3244,1.599
16.71,0.3821,1.907
20.0,0.575,1.883
21.22,0.6729999999999999,1.787
25.0,1.052,1.449
26.86,1.269,1.301
30.0,1.652,1.096
35.0,2.24,0.8643
40.0,2.752,0.7131
40.81,2.827,0.6939
45.0,3.181,0.611
50.0,3.526,0.5396
55.0,3.778,0.4884
60.0,3.935,0.4514
65.0,4.009,0.4249
70.0,4.021,0.4066
75.0,3.993,0.3945
80.0,3.941,0.3874
85.0,3.873,0.3842
90.0,3.794,0.384
95.0,3.704,0.3861
100.0,3.604,0.3901
105.0,3.498,0.3957
110.0,3.388,0.4025
115.0,3.275,0.4103
120.0,3.1630000000000003,0.419
125.0,3.052,0.4283
130.0,2.943,0.4383
132.3,2.893,0.4431
135.0,2.8360000000000003,0.4487
140.0,2.7310000000000003,0.4595
145.0,2.629,0.4705
150.0,2.529,0.4816
151.4,2.501,0.4848
155.0,2.431,0.4929
160.0,2.336,0.5042
165.0,2.244,0.5155
170.0,2.156,0.5269
175.0,2.07,0.5381
180.0,1.988,0.5494
185.0,1.909,0.5605
190.0,1.833,0.5716
195.0,1.761,0.5826
200.0,1.6909999999999998,0.5935
205.0,1.624,0.6043
210.0,1.56,0.6149
215.0,1.4980000000000002,0.6254
220.0,1.439,0.6358
225.0,1.382,0.6459
230.0,1.328,0.6559
235.0,1.276,0.6657
240.0,1.226,0.6753
245.0,1.178,0.6848
250.0,1.133,0.6941
255.0,1.089,0.7032
260.0,1.047,0.7121
265.0,1.008,0.7209
270.0,0.9695,0.7295
275.0,0.933,0.7379
280.0,0.8981,0.7462
285.0,0.8646,0.7543
290.0,0.8326,0.7622
295.0,0.802,0.77
300.0,0.7726,0.7776
305.0,0.7445,0.7851
310.0,0.7175,0.7924
320.0,0.6671,0.8065
340.0,0.5783,0.833
360.0,0.5034,0.8572
380.0,0.4399,0.8794
400.0,0.3859,0.8997
420.0,0.3398,0.9182
440.0,0.3002,0.935
460.0,0.2662,0.9504
480.0,0.2368,0.9644
500.0,0.2113,0.9771
520.0,0.1892,0.9886
540.0,0.1698,0.999
560.0,0.1529,1.008
580.0,0.1379,1.017
600.0,0.1248,1.025
620.0,0.1132,1.032
640.0,0.1028,1.038
660.0,0.09367,1.043
680.0,0.0855,1.048
700.0,0.07818,1.052
720.0,0.07163,1.056
740.0,0.06575,1.0590000000000002
760.0,0.06045,1.062
780.0,0.055679999999999986,1.065
800.0,0.051370000000000006,1.067
850.0,0.04226,1.07
900.0,0.03507,1.072
950.0,0.02935,1.072
1000.0,0.02473,1.07
1041.0,0.02161,1.069
1050.0,0.02099,1.068
1100.0,0.01792,1.065
1150.0,0.01539,1.061
1200.0,0.01329,1.056
1250.0,0.01153,1.051
1253.6,0.01141,1.051
1300.0,0.01005,1.045
1350.0,0.008796,1.04
1400.0,0.007731,1.033
1450.0,0.006822,1.027
1486.6,0.006237,1.022
1500.0,0.006039,1.021
