energy,cross_section,asymmetry_parameter
300.0,0.2019,2
320.0,0.1926,2
340.0,0.1792,2
360.0,0.1685,2
380.0,0.1583,2
400.0,0.1488,2
420.0,0.1403,2
440.0,0.1324,2
460.0,0.125,2
480.0,0.1182,2
500.0,0.112,2
520.0,0.1062,2
540.0,0.1008,2
560.0,0.09578,2
580.0,0.09115,2
600.0,0.08684,2
620.0,0.08282,2
640.0,0.07906,2
660.0,0.07555,2
680.0,0.07227,2
700.0,0.0692,2
720.0,0.06632,2
740.0,0.06361,2
760.0,0.06106,2
780.0,0.05866,2
800.0,0.0564,2
850.0,0.05129,2
900.0,0.04683,2
950.0,0.04294,2
1000.0,0.0395,2
1041.0,0.03698,2
1050.0,0.03646,2
1100.0,0.033760000000000005,2
1150.0,0.03135,2
1200.0,0.02918,2
1250.0,0.02724,2
1253.6,0.0271,2
1300.0,0.02547,2
1350.0,0.02388,2
1400.0,0.02243,2
1450.0,0.0211,2
1486.6,0.0202,2
1500.0,0.01989,2
