energy,cross_section,asymmetry_parameter
30.0,7.548999999999999,1.956
35.0,4.11,1.918
40.0,2.39,1.731
40.81,2.205,1.6909999999999998
45.0,1.503,1.45
50.0,1.021,1.117
55.0,0.7451,0.7741
60.0,0.5787,0.4599
65.0,0.4747,0.2052
70.0,0.4076,0.026060000000000003
75.0,0.3628,-0.07845
80.0,0.3319,-0.1209
85.0,0.3094,-0.1179
90.0,0.2922,-0.08482
95.0,0.2785,-0.03305
100.0,0.2671,0.02947
105.0,0.2573,0.09754
110.0,0.2485,0.1678
115.0,0.2407,0.2379
120.0,0.2334,0.3063
125.0,0.2267,0.3722
130.0,0.2204,0.4347
132.3,0.2176,0.4623
135.0,0.2144,0.4937
140.0,0.2086,0.5491
145.0,0.2032,0.601
150.0,0.1979,0.6495
151.4,0.1965,0.6625
155.0,0.1929,0.695
160.0,0.188,0.7377
165.0,0.1833,0.7778
170.0,0.1788,0.8156
175.0,0.1745,0.8514
180.0,0.1703,0.8851
185.0,0.1662,0.917
190.0,0.1623,0.9472
195.0,0.1585,0.9758
200.0,0.1549,1.003
205.0,0.1513,1.028
210.0,0.1479,1.053
215.0,0.1446,1.075
220.0,0.1414,1.097
225.0,0.1383,1.118
230.0,0.1353,1.137
235.0,0.1325,1.156
240.0,0.1297,1.1740000000000002
245.0,0.127,1.1909999999999998
250.0,0.1244,1.207
255.0,0.1218,1.223
260.0,0.1194,1.238
265.0,0.117,1.252
270.0,0.1147,1.266
275.0,0.1124,1.279
280.0,0.1102,1.2919999999999998
285.0,0.1081,1.304
290.0,0.106,1.3159999999999998
295.0,0.104,1.327
300.0,0.1021,1.338
305.0,0.1002,1.348
310.0,0.09838,1.358
315.0,0.0966,1.368
320.0,0.09487,1.3769999999999998
340.0,0.0884,1.411
360.0,0.08258,1.4409999999999998
380.0,0.07732,1.467
400.0,0.07255,1.491
420.0,0.06823,1.511
440.0,0.06429,1.53
460.0,0.06068,1.546
480.0,0.05738,1.561
500.0,0.05433,1.574
520.0,0.051529999999999986,1.586
540.0,0.04894,1.597
560.0,0.04654,1.607
580.0,0.04431,1.617
600.0,0.04224,1.625
620.0,0.040310000000000006,1.632
640.0,0.03851,1.639
660.0,0.03683,1.646
680.0,0.03526,1.652
700.0,0.033780000000000004,1.6569999999999998
720.0,0.0324,1.662
740.0,0.03109,1.6669999999999998
760.0,0.02986,1.671
780.0,0.0287,1.675
800.0,0.027610000000000003,1.6780000000000002
850.0,0.02513,1.686
900.0,0.02296,1.692
950.0,0.02106,1.6969999999999998
1000.0,0.01937,1.7009999999999998
1041.0,0.01813,1.704
1050.0,0.01787,1.705
1100.0,0.01654,1.707
1150.0,0.01534,1.709
1200.0,0.01426,1.71
1250.0,0.01329,1.711
1253.6,0.01323,1.711
1300.0,0.01241,1.711
1350.0,0.01161,1.711
1400.0,0.01089,1.711
1450.0,0.01022,1.711
1486.6,0.009775,1.71
1500.0,0.009616,1.71
