energy,cross_section,asymmetry_parameter
80.0,0.8456,0.7071
85.0,0.6856,0.8194
90.0,0.5652,0.2882
95.0,0.5094,-0.2616
100.0,0.5027,-0.5529
105.0,0.525,-0.5855
110.0,0.5616,-0.4711
115.0,0.6036,-0.3004
120.0,0.6461,-0.1205
125.0,0.6868,0.04942
130.0,0.7244,0.203
132.3,0.7402,0.2677
135.0,0.758,0.3394
140.0,0.7876,0.4598
145.0,0.8127,0.5660000000000001
150.0,0.8336,0.6597
151.4,0.8385,0.6839
155.0,0.8502,0.7426
160.0,0.8627,0.816
165.0,0.8715,0.8813
170.0,0.8769,0.9395
175.0,0.8793,0.9915
180.0,0.879,1.038
185.0,0.8766,1.08
190.0,0.8723,1.118
195.0,0.8664,1.152
200.0,0.8592,1.183
205.0,0.8511,1.211
210.0,0.8422,1.237
215.0,0.8325,1.26
220.0,0.8223,1.2819999999999998
225.0,0.8116,1.3019999999999998
230.0,0.8005,1.321
235.0,0.7891,1.338
240.0,0.7775,1.354
245.0,0.7656,1.369
250.0,0.7535,1.383
255.0,0.7413,1.396
260.0,0.7290000000000001,1.409
265.0,0.7167,1.42
270.0,0.7043,1.431
275.0,0.6919,1.4409999999999998
280.0,0.6795,1.4509999999999998
285.0,0.6672,1.46
290.0,0.655,1.469
295.0,0.643,1.477
300.0,0.631,1.485
305.0,0.6193,1.492
310.0,0.6077,1.499
315.0,0.5963,1.505
320.0,0.5851,1.511
325.0,0.5741,1.517
330.0,0.5634,1.523
335.0,0.5528,1.528
340.0,0.5425,1.533
345.0,0.5324,1.537
350.0,0.5225,1.5419999999999998
355.0,0.5128,1.546
360.0,0.5033,1.55
365.0,0.494,1.554
370.0,0.4849,1.557
375.0,0.476,1.561
380.0,0.4672,1.564
400.0,0.4339,1.575
420.0,0.4033,1.585
440.0,0.3752,1.5930000000000002
460.0,0.3493,1.599
480.0,0.3257,1.604
500.0,0.3041,1.608
520.0,0.2843,1.611
540.0,0.2661,1.6130000000000002
560.0,0.2494,1.614
580.0,0.234,1.615
600.0,0.2198,1.616
620.0,0.2066,1.616
640.0,0.1945,1.616
660.0,0.1832,1.615
680.0,0.1728,1.614
700.0,0.1632,1.6130000000000002
720.0,0.1542,1.611
740.0,0.1459,1.61
760.0,0.1382,1.608
780.0,0.131,1.606
800.0,0.1242,1.6030000000000002
850.0,0.1093,1.597
900.0,0.09657,1.591
950.0,0.08575,1.5830000000000002
1000.0,0.07647000000000001,1.5759999999999998
1041.0,0.06982000000000001,1.569
1050.0,0.06846000000000001,1.568
1100.0,0.0615,1.5590000000000002
1150.0,0.05545,1.551
1200.0,0.05016,1.543
1250.0,0.04551,1.534
1253.6,0.0452,1.533
1300.0,0.04141,1.526
1350.0,0.03778,1.517
1400.0,0.03456,1.508
1450.0,0.03168,1.5
1486.6,0.02978,1.493
1500.0,0.02912,1.491
