energy,cross_section,asymmetry_parameter
120.0,0.3532,2
125.0,0.3367,2
130.0,0.3261,2
132.3,0.3224,2
135.0,0.3188,2
140.0,0.3135,2
145.0,0.3092,2
150.0,0.3053,2
151.4,0.3042,2
155.0,0.3015,2
160.0,0.2975,2
165.0,0.2931,2
170.0,0.2884,2
175.0,0.2833,2
180.0,0.2779,2
185.0,0.2723,2
190.0,0.2665,2
195.0,0.2606,2
200.0,0.2547,2
205.0,0.249,2
210.0,0.2433,2
215.0,0.2377,2
220.0,0.2323,2
225.0,0.227,2
230.0,0.2219,2
235.0,0.217,2
240.0,0.2123,2
245.0,0.2076,2
250.0,0.2032,2
255.0,0.1988,2
260.0,0.1946,2
265.0,0.1905,2
270.0,0.1865,2
275.0,0.1826,2
280.0,0.1788,2
285.0,0.1751,2
290.0,0.1714,2
295.0,0.1679,2
300.0,0.1644,2
305.0,0.161,2
310.0,0.1578,2
315.0,0.1546,2
320.0,0.1514,2
325.0,0.1484,2
330.0,0.1455,2
335.0,0.1426,2
340.0,0.1398,2
345.0,0.1371,2
350.0,0.1345,2
355.0,0.1319,2
360.0,0.1294,2
365.0,0.127,2
370.0,0.1247,2
375.0,0.1224,2
380.0,0.1202,2
385.0,0.118,2
390.0,0.1159,2
395.0,0.1139,2
400.0,0.1119,2
405.0,0.11,2
410.0,0.1081,2
420.0,0.1044,2
440.0,0.0976,2
460.0,0.09139,2
480.0,0.08572,2
500.0,0.08056,2
520.0,0.07584,2
540.0,0.07153,2
560.0,0.06757,2
580.0,0.06394,2
600.0,0.06058,2
620.0,0.057470000000000014,2
640.0,0.05458,2
660.0,0.0519,2
680.0,0.0494,2
700.0,0.04707,2
720.0,0.044910000000000005,2
740.0,0.04289,2
760.0,0.041,2
780.0,0.03923,2
800.0,0.03757,2
850.0,0.03385,2
900.0,0.03063,2
950.0,0.02784,2
1000.0,0.0254,2
1041.0,0.02364,2
1050.0,0.02327,2
1100.0,0.02139,2
1150.0,0.01972,2
1200.0,0.01822,2
1250.0,0.016890000000000002,2
1253.6,0.0168,2
1300.0,0.0157,2
1350.0,0.01462,2
1400.0,0.01365,2
1450.0,0.01277,2
1486.6,0.01217,2
1500.0,0.01197,2
