energy,cross_section,asymmetry_parameter
800.0,0.1131,1.4780000000000002
805.0,0.3562,1.775
810.0,0.5506,1.098
815.0,0.6113,0.6545
820.0,0.6434,0.3802
825.0,0.6648,0.1986
830.0,0.6754,0.07301
835.0,0.6775,-0.01523
840.0,0.6755,-0.07692
845.0,0.6729,-0.1192
850.0,0.6711,-0.1472
855.0,0.6703,-0.1647
860.0,0.67,-0.1744
865.0,0.6696,-0.1781
870.0,0.6687,-0.1775
875.0,0.6673,-0.1732
880.0,0.6655,-0.1662
885.0,0.6635,-0.1568
890.0,0.6616,-0.1454
895.0,0.6599,-0.1325
900.0,0.6583,-0.1184
905.0,0.657,-0.1033
910.0,0.6557,-0.08752
915.0,0.6543,-0.07127
920.0,0.6529,-0.054720000000000005
925.0,0.6513,-0.03799
930.0,0.6496,-0.02114
935.0,0.6478,-0.00424
940.0,0.6459,0.01268
945.0,0.6441,0.02962
950.0,0.6422,0.04655
955.0,0.6404,0.06345
960.0,0.6387,0.08029
965.0,0.6369,0.09706
970.0,0.6352,0.1137
975.0,0.6335,0.1302
980.0,0.6318,0.1465
985.0,0.63,0.1626
990.0,0.6281,0.1784
995.0,0.6262,0.194
1000.0,0.6243,0.2093
1005.0,0.6223,0.2244
1010.0,0.6203,0.2393
1015.0,0.6183,0.2539
1020.0,0.6162,0.2683
1025.0,0.6142,0.2825
1030.0,0.6122,0.2965
1035.0,0.6102,0.3103
1040.0,0.6082,0.3238
1041.0,0.6078,0.3265
1045.0,0.6062,0.3372
1050.0,0.6041,0.3504
1055.0,0.6021,0.3634
1060.0,0.6,0.3761
1065.0,0.5979,0.3887
1070.0,0.5958,0.401
1075.0,0.5937,0.4131
1080.0,0.5915,0.425
1085.0,0.5893,0.4367
1090.0,0.5871,0.4482
1095.0,0.5849,0.4595
1100.0,0.5827,0.4706
1150.0,0.5607,0.5722
1200.0,0.5382,0.6588
1250.0,0.5159,0.7329
1253.6,0.5143,0.7379
1300.0,0.4938,0.797
1350.0,0.4724,0.8525
1400.0,0.4516,0.9012
1450.0,0.4315,0.9438
1486.6,0.4174,0.9719
1500.0,0.4123,0.9816
