energy,cross_section,asymmetry_parameter
270.0,0.2283,2
275.0,0.2233,2
280.0,0.2208,2
285.0,0.2182,2
290.0,0.2148,2
295.0,0.2105,2
300.0,0.2059,2
305.0,0.2013,2
310.0,0.1969,2
315.0,0.193,2
320.0,0.1893,2
325.0,0.1858,2
330.0,0.1825,2
335.0,0.1791,2
340.0,0.1758,2
345.0,0.1725,2
350.0,0.1693,2
355.0,0.1661,2
360.0,0.163,2
365.0,0.16,2
370.0,0.1572,2
375.0,0.1544,2
380.0,0.1517,2
385.0,0.1491,2
390.0,0.1466,2
395.0,0.1441,2
400.0,0.1417,2
405.0,0.1393,2
410.0,0.13699999999999998,2
415.0,0.1347,2
420.0,0.1324,2
425.0,0.1302,2
430.0,0.1281,2
435.0,0.126,2
440.0,0.124,2
445.0,0.122,2
450.0,0.1201,2
455.0,0.1182,2
460.0,0.1164,2
465.0,0.1146,2
470.0,0.1129,2
475.0,0.1112,2
480.0,0.1095,2
485.0,0.1079,2
490.0,0.1063,2
495.0,0.1047,2
500.0,0.1031,2
505.0,0.1016,2
510.0,0.1002,2
515.0,0.09872,2
520.0,0.09732,2
525.0,0.09594,2
530.0,0.09459,2
535.0,0.09328,2
540.0,0.09199,2
545.0,0.09073,2
550.0,0.08949,2
555.0,0.08828,2
560.0,0.0871,2
580.0,0.08257,2
600.0,0.07837000000000001,2
620.0,0.0745,2
640.0,0.07091,2
660.0,0.06758,2
680.0,0.06447,2
700.0,0.061570000000000014,2
720.0,0.05886,2
740.0,0.05634,2
760.0,0.05397,2
780.0,0.05175,2
800.0,0.04966,2
850.0,0.04497,2
900.0,0.04092,2
950.0,0.03739,2
1000.0,0.0343,2
1041.0,0.03205,2
1050.0,0.03159,2
1100.0,0.02918,2
1150.0,0.02705,2
1200.0,0.02514,2
1250.0,0.02343,2
1253.6,0.02331,2
1300.0,0.02189,2
1350.0,0.0205,2
1400.0,0.01924,2
1450.0,0.01809,2
1486.6,0.01732,2
1500.0,0.01705,2
