energy,cross_section,asymmetry_parameter
435.0,0.1934,0.633
440.0,0.2515,1.582
445.0,0.384,1.908
450.0,0.4537,1.4169999999999998
455.0,0.4891,0.9079
460.0,0.5148,0.4982
465.0,0.5322,0.1837
470.0,0.5424,-0.05086
475.0,0.5482,-0.2217
480.0,0.5526,-0.3439
485.0,0.5573,-0.4294
490.0,0.5631,-0.4876
495.0,0.5698,-0.5252
500.0,0.5772,-0.5472
505.0,0.5849,-0.5573
510.0,0.5923,-0.5583
515.0,0.5994,-0.5523
520.0,0.6058,-0.5408
525.0,0.6116,-0.525
530.0,0.617,-0.5058
535.0,0.622,-0.484
540.0,0.6267,-0.4602
545.0,0.6313,-0.4347
550.0,0.6357,-0.4081
555.0,0.6401,-0.3805
560.0,0.6444,-0.3524
565.0,0.6486,-0.3239
570.0,0.6526,-0.2953
575.0,0.6564,-0.2667
580.0,0.6599,-0.2382
585.0,0.6631,-0.2101
590.0,0.6659,-0.1824
595.0,0.6685,-0.155
600.0,0.6707,-0.1282
605.0,0.6727,-0.1019
610.0,0.6744,-0.07606
615.0,0.6759,-0.05074
620.0,0.6772,-0.02591
625.0,0.6784,-0.001566
630.0,0.6794,0.02232
635.0,0.6802,0.04575
640.0,0.6809,0.06873
645.0,0.6816,0.09127
650.0,0.682,0.1134
655.0,0.6824,0.135
660.0,0.6826,0.1562
665.0,0.6827,0.177
670.0,0.6826,0.1973
675.0,0.6823,0.2171
680.0,0.682,0.2365
685.0,0.6814,0.2554
690.0,0.6807,0.2739
695.0,0.6799,0.2919
700.0,0.6789,0.3095
705.0,0.6779,0.3267
710.0,0.6767,0.3435
715.0,0.6754,0.3598
720.0,0.674,0.3758
725.0,0.6726,0.3915
740.0,0.6678,0.4364
760.0,0.6606,0.4920000000000001
780.0,0.6526,0.5434
800.0,0.6435,0.5907
850.0,0.6179,0.6935
900.0,0.5902,0.7781
950.0,0.5615,0.8494
1000.0,0.5325,0.9095
1041.0,0.5092,0.952
1050.0,0.5042,0.9607
1100.0,0.4767,1.005
1150.0,0.4502,1.043
1200.0,0.4251,1.0759999999999998
1250.0,0.4014,1.105
1253.6,0.3997,1.107
1300.0,0.3789,1.131
1350.0,0.3578,1.153
1400.0,0.338,1.173
1450.0,0.3194,1.1909999999999998
1486.6,0.3066,1.203
1500.0,0.302,1.207
