energy,cross_section,asymmetry_parameter
55.0,3.406,1.37
60.0,2.6460000000000004,1.948
65.0,1.916,1.844
70.0,1.399,1.624
75.0,1.047,1.33
80.0,0.8112,0.9842
85.0,0.6552,0.626
90.0,0.5543,0.3018
95.0,0.4905,0.05034
100.0,0.4511,-0.1114
105.0,0.4276,-0.1886
110.0,0.4141,-0.1995
115.0,0.4069,-0.1648
120.0,0.4034,-0.1023
125.0,0.402,-0.024880000000000003
130.0,0.4016,0.05895
132.3,0.4017,0.09815
135.0,0.4018,0.14400000000000002
140.0,0.402,0.2273
145.0,0.4021,0.3073
150.0,0.4019,0.3831
151.4,0.4018,0.4035
155.0,0.4014,0.4544
160.0,0.4004,0.5214
165.0,0.3991,0.584
170.0,0.3973,0.6425
175.0,0.3951,0.6972
180.0,0.3926,0.7482
185.0,0.3897,0.7959
190.0,0.3865,0.8403
195.0,0.383,0.8819
200.0,0.3792,0.9207
205.0,0.3752,0.9569
210.0,0.371,0.9908
215.0,0.3666,1.023
220.0,0.3621,1.052
225.0,0.3575,1.08
230.0,0.3528,1.106
235.0,0.3481,1.131
240.0,0.3433,1.153
245.0,0.3385,1.175
250.0,0.3337,1.195
255.0,0.329,1.215
260.0,0.3242,1.233
265.0,0.3195,1.25
270.0,0.3149,1.266
275.0,0.3102,1.2819999999999998
280.0,0.3057,1.296
285.0,0.3012,1.31
290.0,0.2967,1.324
295.0,0.2923,1.336
300.0,0.2879,1.348
305.0,0.2836,1.36
310.0,0.2794,1.371
315.0,0.2752,1.382
320.0,0.2711,1.392
325.0,0.267,1.402
330.0,0.263,1.411
335.0,0.259,1.42
340.0,0.2551,1.429
345.0,0.2513,1.4369999999999998
350.0,0.2475,1.445
360.0,0.2401,1.461
380.0,0.2259,1.4880000000000002
400.0,0.2127,1.5119999999999998
420.0,0.2005,1.5319999999999998
440.0,0.1891,1.55
460.0,0.1787,1.5659999999999998
480.0,0.16899999999999998,1.579
500.0,0.16,1.591
520.0,0.1516,1.602
540.0,0.1438,1.612
560.0,0.1365,1.62
580.0,0.1297,1.628
600.0,0.1233,1.635
620.0,0.1174,1.641
640.0,0.1118,1.646
660.0,0.1067,1.651
680.0,0.1018,1.655
700.0,0.0973,1.659
720.0,0.09305,1.662
740.0,0.08905,1.665
760.0,0.08528999999999999,1.668
780.0,0.08174,1.67
800.0,0.07839,1.672
850.0,0.07081,1.676
900.0,0.06421,1.679
950.0,0.05846000000000001,1.68
1000.0,0.0534,1.681
1041.0,0.04971,1.681
1050.0,0.04895,1.681
1100.0,0.04499,1.68
1150.0,0.04146,1.679
1200.0,0.03832,1.6769999999999998
1250.0,0.0355,1.675
1253.6,0.0353,1.675
1300.0,0.03296,1.673
1350.0,0.03067,1.67
1400.0,0.02859,1.6669999999999998
1450.0,0.02671,1.664
1486.6,0.02544,1.662
1500.0,0.02499,1.661
