energy,cross_section,asymmetry_parameter
220.0,0.3249,0.2822
225.0,0.2922,0.3287
230.0,0.2694,0.4782
235.0,0.2639,0.7767
240.0,0.2756,1.187
245.0,0.3051,1.587
250.0,0.3542,1.858
255.0,0.4205,1.961
260.0,0.5053,1.936
265.0,0.6117,1.831
270.0,0.7426,1.682
275.0,0.8988,1.515
280.0,1.078,1.348
285.0,1.277,1.192
290.0,1.4880000000000002,1.051
295.0,1.706,0.9278
300.0,1.928,0.8218
305.0,2.151,0.7313
310.0,2.372,0.6547
315.0,2.591,0.5898
320.0,2.804,0.5351
325.0,3.01,0.4889
330.0,3.2060000000000004,0.4501
335.0,3.389,0.4175
340.0,3.5580000000000003,0.3903
345.0,3.712,0.3677
350.0,3.85,0.3491
355.0,3.975,0.3341
360.0,4.085,0.3221
365.0,4.183,0.3128
370.0,4.27,0.3057
375.0,4.347,0.3007
380.0,4.415,0.2974
385.0,4.474,0.2956
390.0,4.526,0.2951
395.0,4.569,0.2958
400.0,4.604,0.2974
405.0,4.632,0.2998
410.0,4.652,0.303
415.0,4.666,0.3067
420.0,4.673,0.3111
425.0,4.674,0.3159
430.0,4.67,0.3211
435.0,4.6610000000000005,0.3267
440.0,4.648,0.3326
445.0,4.632,0.3387
450.0,4.612,0.3452
455.0,4.59,0.3518
460.0,4.565,0.3586
465.0,4.538,0.3655
470.0,4.509,0.3726
475.0,4.478,0.3797
480.0,4.4460000000000015,0.3869
485.0,4.4110000000000005,0.3942
490.0,4.375,0.4015
495.0,4.337,0.4088
500.0,4.298,0.4161
505.0,4.258,0.4235
510.0,4.216,0.4307
515.0,4.174,0.438
520.0,4.13,0.4452
540.0,3.951,0.4737
560.0,3.769,0.5015
580.0,3.588,0.5284
600.0,3.41,0.5543
620.0,3.236,0.579
640.0,3.067,0.6026
660.0,2.904,0.6251
680.0,2.75,0.6464
700.0,2.603,0.6667
720.0,2.464,0.6861
740.0,2.332,0.7045
760.0,2.207,0.722
780.0,2.088,0.7387
800.0,1.977,0.7545
850.0,1.727,0.7906
900.0,1.5119999999999998,0.8224
950.0,1.327,0.8506
1000.0,1.169,0.8754
1041.0,1.055,0.8935
1050.0,1.032,0.8973
1100.0,0.9146,0.9167
1150.0,0.8128,0.9339
1200.0,0.7246,0.9491
1250.0,0.6478,0.9625
1253.6,0.6427,0.9634
1300.0,0.5807,0.9744
1350.0,0.5221,0.9848
1400.0,0.4706,0.994
1450.0,0.4252,1.002
1486.6,0.3953,1.007
1500.0,0.3851,1.009
