energy,cross_section,asymmetry_parameter
10.0,0.2921,2
10.2,0.2907,2
15.0,0.2378,2
16.7,0.2197,2
20.0,0.1901,2
21.2,0.1809,2
25.0,0.1561,2
26.8,0.1461,2
30.0,0.1306,2
35.0,0.1107,2
40.0,0.09469,2
40.8,0.09243,2
45.0,0.08171,2
50.0,0.07114,2
55.0,0.06251,2
60.0,0.05541,2
65.0,0.049530000000000005,2
70.0,0.0446,2
75.0,0.04044,2
80.0,0.03687,2
85.0,0.03381,2
90.0,0.03114,2
95.0,0.02882,2
100.0,0.02677,2
105.0,0.02496,2
110.0,0.02336,2
115.0,0.02192,2
120.0,0.020630000000000003,2
125.0,0.01945,2
130.0,0.01838,2
132.3,0.01792,2
135.0,0.0174,2
140.0,0.0165,2
145.0,0.01566,2
150.0,0.01488,2
151.4,0.01467,2
155.0,0.01416,2
160.0,0.01348,2
165.0,0.01285,2
170.0,0.01226,2
175.0,0.01171,2
180.0,0.0112,2
185.0,0.01071,2
190.0,0.01026,2
195.0,0.009839,2
200.0,0.009442,2
205.0,0.009069,2
210.0,0.008719,2
215.0,0.00839,2
220.0,0.00808,2
225.0,0.007788,2
230.0,0.007513,2
235.0,0.007254000000000002,2
240.0,0.0070090000000000005,2
245.0,0.006778,2
250.0,0.006559000000000001,2
255.0,0.006352,2
260.0,0.006156,2
265.0,0.0059700000000000005,2
270.0,0.005793,2
275.0,0.005625,2
280.0,0.005465,2
285.0,0.005313,2
290.0,0.005167000000000001,2
295.0,0.005028,2
300.0,0.004894,2
320.0,0.004413,2
340.0,0.004001,2
360.0,0.003645,2
380.0,0.0033350000000000003,2
400.0,0.003065,2
420.0,0.002827,2
440.0,0.002618,2
460.0,0.002433,2
480.0,0.002268,2
500.0,0.002121,2
520.0,0.001988,2
540.0,0.001868,2
560.0,0.001759,2
580.0,0.001659,2
600.0,0.001567,2
620.0,0.001483,2
640.0,0.001405,2
660.0,0.001334,2
680.0,0.001268,2
700.0,0.001207,2
720.0,0.00115,2
740.0,0.001098,2
760.0,0.001049,2
780.0,0.001004,2
800.0,0.0009615,2
850.0,0.0008664999999999999,2
900.0,0.0007849,2
950.0,0.0007144,2
1000.0,0.000653,2
1041.0,0.0006086,2
1050.0,0.0005993999999999999,2
1100.0,0.0005522999999999999,2
1150.0,0.0005105999999999999,2
1200.0,0.0004734,2
1250.0,0.0004401,2
1253.6,0.0004379,2
1300.0,0.0004103,2
1350.0,0.0003833,2
1400.0,0.0003591,2
1450.0,0.0003371000000000001,2
1486.6,0.0003222,2
1500.0,0.000317,2
