energy,cross_section,asymmetry_parameter
100.0,0.4529,0.3336
105.0,0.5223,0.46
110.0,0.5438,0.6369
115.0,0.5469,0.8585
120.0,0.5482,1.106
125.0,0.5603,1.342
130.0,0.5948,1.514
132.3,0.6196,1.555
135.0,0.6563,1.571
140.0,0.7466,1.5219999999999998
145.0,0.8648,1.401
150.0,1.009,1.248
151.4,1.053,1.204
155.0,1.175,1.091
160.0,1.362,0.9455
165.0,1.568,0.8173
170.0,1.789,0.708
175.0,2.024,0.6164
180.0,2.27,0.5403
185.0,2.523,0.4777
190.0,2.78,0.4263
195.0,3.035,0.3845
200.0,3.284,0.3506
205.0,3.523,0.3235
210.0,3.751,0.3021
215.0,3.963,0.2854
220.0,4.1610000000000005,0.2728
225.0,4.342,0.2636
230.0,4.508,0.2574
235.0,4.659,0.2536
240.0,4.796,0.2519
245.0,4.919,0.252
250.0,5.03,0.2535
255.0,5.127999999999999,0.2563
260.0,5.212999999999999,0.2602
265.0,5.287000000000001,0.2649
270.0,5.349,0.2704
275.0,5.4,0.2765
280.0,5.439,0.2831
285.0,5.468,0.2901
290.0,5.487,0.2975
295.0,5.497000000000001,0.3051
300.0,5.497999999999998,0.313
305.0,5.49,0.321
310.0,5.476,0.3293
315.0,5.456,0.3376
320.0,5.43,0.3461
325.0,5.399,0.3546
330.0,5.364,0.3632
335.0,5.325,0.3719
340.0,5.283,0.3805
345.0,5.238,0.3892
350.0,5.191,0.3979
355.0,5.141,0.4065
360.0,5.089,0.4151
365.0,5.0360000000000005,0.4237
370.0,4.981,0.4322
375.0,4.924,0.4407
380.0,4.8660000000000005,0.4491
385.0,4.807,0.4574
390.0,4.746,0.4657
395.0,4.685,0.4738
400.0,4.623,0.4819
420.0,4.369,0.5132
440.0,4.114,0.5429
460.0,3.865,0.5711
480.0,3.626,0.5979
500.0,3.398,0.6233
520.0,3.181,0.6473
540.0,2.977,0.6701
560.0,2.783,0.6917
580.0,2.602,0.7120000000000001
600.0,2.4330000000000003,0.7312
620.0,2.276,0.7493
640.0,2.13,0.7663
660.0,1.994,0.7825
680.0,1.868,0.7978
700.0,1.751,0.8123
720.0,1.642,0.826
740.0,1.541,0.8389
760.0,1.446,0.8512
780.0,1.359,0.8628
800.0,1.278,0.8738
850.0,1.099,0.8986
900.0,0.9499,0.9203
950.0,0.8242,0.9393
1000.0,0.7182,0.9558
1041.0,0.6436,0.9677
1050.0,0.6285,0.9701
1100.0,0.5522,0.9826
1150.0,0.4869,0.9934
1200.0,0.4308,1.003
1250.0,0.3826,1.011
1253.6,0.3793,1.011
1300.0,0.3408,1.018
1350.0,0.3045,1.023
1400.0,0.2728,1.028
1450.0,0.2451,1.032
1486.6,0.227,1.035
1500.0,0.2208,1.035
