energy,cross_section,asymmetry_parameter
500.0,0.2808,-0.7244
520.0,0.3466,-0.3123
540.0,0.3489,0.05875
560.0,0.3393,0.2901
580.0,0.3331,0.4664
600.0,0.3271,0.6119
620.0,0.32,0.7304
640.0,0.3125,0.8258
660.0,0.3053,0.9042
680.0,0.2986,0.9711
700.0,0.292,1.03
720.0,0.2853,1.082
740.0,0.2784,1.128
760.0,0.2717,1.169
780.0,0.265,1.205
800.0,0.2587,1.237
850.0,0.2435,1.304
900.0,0.229,1.359
950.0,0.2155,1.403
1000.0,0.203,1.439
1041.0,0.1934,1.465
1050.0,0.1913,1.47
1100.0,0.1805,1.496
1150.0,0.1704,1.518
1200.0,0.1611,1.537
1250.0,0.1525,1.554
1253.6,0.1519,1.555
1300.0,0.1445,1.568
1350.0,0.13699999999999998,1.581
1400.0,0.1301,1.592
1450.0,0.1236,1.602
1486.6,0.1192,1.608
1500.0,0.1176,1.611
