energy,cross_section,asymmetry_parameter
600.0,0.1379,2
620.0,0.1235,2
640.0,0.1193,2
660.0,0.1165,2
680.0,0.1126,2
700.0,0.1083,2
720.0,0.1043,2
740.0,0.1008,2
760.0,0.09749,2
780.0,0.09429,2
800.0,0.09114,2
850.0,0.0838,2
900.0,0.07747000000000001,2
950.0,0.07177,2
1000.0,0.06661,2
1041.0,0.06281,2
1050.0,0.06202000000000001,2
1100.0,0.05791,2
1150.0,0.05416,2
1200.0,0.05076,2
1250.0,0.04768,2
1253.6,0.04747,2
1300.0,0.04487,2
1350.0,0.0423,2
1400.0,0.03994,2
1450.0,0.03777,2
1486.6,0.0363,2
1500.0,0.03578,2
