energy,cross_section,asymmetry_parameter
15.0,14.84,-0.1073
16.71,18.41,-0.1882
20.0,25.66,-0.1184
21.22,28.38,-0.06844
25.0,36.18,0.1004
26.86,39.16,0.1823
30.0,41.89,0.3129
35.0,39.53,0.4999
40.0,32.11,0.664
40.81,30.78,0.6887
45.0,24.26,0.8101
50.0,17.94,0.9426
55.0,13.29,1.065
60.0,9.921,1.178
65.0,7.472,1.285
70.0,5.671,1.386
75.0,4.333,1.482
80.0,3.3310000000000004,1.5719999999999998
85.0,2.576,1.6569999999999998
90.0,2.005,1.735
95.0,1.57,1.805
100.0,1.237,1.867
105.0,0.9811,1.919
110.0,0.7835,1.958
115.0,0.6301,1.982
120.0,0.5104,1.989
125.0,0.4167,1.976
130.0,0.343,1.939
132.3,0.3145,1.913
135.0,0.2849,1.875
140.0,0.2391,1.7819999999999998
145.0,0.203,1.658
150.0,0.1745,1.504
151.4,0.1677,1.456
155.0,0.1521,1.3230000000000002
160.0,0.1346,1.12
165.0,0.121,0.9033
170.0,0.1105,0.6814
175.0,0.1025,0.4642
180.0,0.0965,0.2605
185.0,0.09208,0.07747000000000001
190.0,0.08893,-0.08043
195.0,0.08678999999999999,-0.211
200.0,0.08544,-0.3143
205.0,0.08473,-0.3917
210.0,0.08451,-0.4458
215.0,0.08467999999999999,-0.4797
220.0,0.08514,-0.4965
225.0,0.08582000000000001,-0.4991
230.0,0.08667000000000001,-0.4904
235.0,0.08763,-0.4728
240.0,0.08867,-0.4482
245.0,0.08976,-0.4184
250.0,0.09086,-0.3848
255.0,0.09196,-0.3485
260.0,0.09304,-0.3104
265.0,0.09409,-0.2713
270.0,0.0951,-0.2317
275.0,0.09605,-0.192
280.0,0.09694,-0.1526
285.0,0.09778,-0.1138
290.0,0.09854,-0.07568
295.0,0.09924,-0.03846
300.0,0.09987,-0.002176
305.0,0.1004,0.03308
310.0,0.1009,0.0673
320.0,0.1017,0.1325
340.0,0.1027,0.2508
360.0,0.1028,0.3542
380.0,0.1022,0.4451
400.0,0.1012,0.5252
420.0,0.09968,0.5961
440.0,0.09786,0.6591
460.0,0.0958,0.7152
480.0,0.09356,0.7653
500.0,0.09122,0.8104
520.0,0.08881,0.851
540.0,0.08637,0.888
560.0,0.08391,0.9216
580.0,0.08146,0.9525
600.0,0.07902,0.9807
620.0,0.07661,1.007
640.0,0.07424,1.031
660.0,0.07191,1.053
680.0,0.06965,1.073
700.0,0.06746,1.092
720.0,0.06533,1.109
740.0,0.06327,1.126
760.0,0.06128,1.141
780.0,0.05936,1.155
800.0,0.0575,1.168
850.0,0.05313,1.198
900.0,0.04914,1.223
950.0,0.04552,1.244
1000.0,0.04222,1.263
1041.0,0.03973,1.276
1050.0,0.03921,1.278
1100.0,0.03646,1.2919999999999998
1150.0,0.03395,1.304
1200.0,0.03166,1.314
1250.0,0.02957,1.3230000000000002
1253.6,0.02942,1.3230000000000002
1300.0,0.02764,1.33
1350.0,0.02588,1.337
1400.0,0.02426,1.342
1450.0,0.02276,1.347
1486.6,0.02175,1.35
1500.0,0.02139,1.351
