energy,cross_section,asymmetry_parameter
520.0,0.1649,2
540.0,0.1346,2
560.0,0.1321,2
580.0,0.1271,2
600.0,0.1215,2
620.0,0.1169,2
640.0,0.1127,2
660.0,0.1084,2
680.0,0.1042,2
700.0,0.1003,2
720.0,0.09672,2
740.0,0.09334,2
760.0,0.09007000000000001,2
780.0,0.08691,2
800.0,0.08392000000000001,2
850.0,0.07719,2
900.0,0.07119,2
950.0,0.06583,2
1000.0,0.06109,2
1041.0,0.05756,2
1050.0,0.05683,2
1100.0,0.05297,2
1150.0,0.04952,2
1200.0,0.04639,2
1250.0,0.04354,2
1253.6,0.04334,2
1300.0,0.04095,2
1350.0,0.03858,2
1400.0,0.036410000000000005,2
1450.0,0.03442,2
1486.6,0.03307,2
1500.0,0.03259,2
