energy,cross_section,asymmetry_parameter
50.0,2.9160000000000004,1.036
55.0,2.617,1.972
60.0,1.954,1.975
65.0,1.412,1.843
70.0,1.032,1.636
75.0,0.7773,1.379
80.0,0.6078,1.098
85.0,0.4934,0.8155
90.0,0.4149,0.5516
95.0,0.3601,0.322
100.0,0.3214,0.1371
105.0,0.2939,0.000951
110.0,0.2742,-0.08765
115.0,0.26,-0.1343
120.0,0.2497,-0.1468
125.0,0.242,-0.1336
130.0,0.2361,-0.1022
132.3,0.2339,-0.08341
135.0,0.2315,-0.05887000000000001
140.0,0.2277,-0.008338
145.0,0.2244,0.04609
150.0,0.2214,0.1022
151.4,0.2206,0.118
155.0,0.2186,0.1585
160.0,0.21600000000000005,0.2141
165.0,0.2134,0.2685
170.0,0.2109,0.3212
175.0,0.2083,0.3722
180.0,0.2058,0.4213
185.0,0.2033,0.4683
190.0,0.2008,0.5133
195.0,0.1982,0.5563
200.0,0.1956,0.5971
205.0,0.1931,0.636
210.0,0.1905,0.6728
215.0,0.1879,0.7077
220.0,0.1853,0.7407
225.0,0.1827,0.772
230.0,0.1801,0.8017
235.0,0.1776,0.8298
240.0,0.1751,0.8565
245.0,0.1726,0.8819
250.0,0.1701,0.9061
255.0,0.1676,0.9291
260.0,0.1652,0.9512
265.0,0.1628,0.9724
270.0,0.1604,0.9926
275.0,0.1581,1.012
280.0,0.1558,1.031
285.0,0.1535,1.0490000000000002
290.0,0.1513,1.0659999999999998
295.0,0.1491,1.083
300.0,0.1469,1.099
305.0,0.1448,1.114
310.0,0.1427,1.129
315.0,0.1406,1.144
320.0,0.1386,1.157
325.0,0.1366,1.171
330.0,0.1346,1.1840000000000002
335.0,0.1326,1.196
340.0,0.1307,1.208
345.0,0.1289,1.219
360.0,0.1235,1.251
380.0,0.1168,1.29
400.0,0.1106,1.3230000000000002
420.0,0.1049,1.354
440.0,0.09956,1.381
460.0,0.09459,1.405
480.0,0.08997000000000001,1.4280000000000002
500.0,0.08567999999999999,1.4469999999999998
520.0,0.0817,1.466
540.0,0.078,1.482
560.0,0.07454,1.497
580.0,0.0713,1.511
600.0,0.06826,1.524
620.0,0.06541,1.536
640.0,0.06274,1.547
660.0,0.06024,1.557
680.0,0.05788,1.567
700.0,0.05566,1.5759999999999998
720.0,0.05358,1.584
740.0,0.0516,1.592
760.0,0.04974,1.599
780.0,0.04797,1.605
800.0,0.04629,1.612
850.0,0.04248,1.626
900.0,0.03912,1.638
950.0,0.03615,1.648
1000.0,0.0335,1.6569999999999998
1041.0,0.03154,1.664
1050.0,0.03114,1.665
1100.0,0.02902,1.672
1150.0,0.02711,1.6769999999999998
1200.0,0.02538,1.682
1250.0,0.0238,1.6869999999999998
1253.6,0.0237,1.6869999999999998
1300.0,0.02237,1.6909999999999998
1350.0,0.02107,1.694
1400.0,0.01987,1.6969999999999998
1450.0,0.01877,1.699
1486.6,0.01802,1.7
1500.0,0.017759999999999998,1.7009999999999998
