energy,cross_section,asymmetry_parameter
270.0,0.2934,0.2669
275.0,0.2406,0.2846
280.0,0.2189,0.4013
285.0,0.2164,0.6823
290.0,0.2319,1.117
295.0,0.2678,1.567
300.0,0.3261,1.877
305.0,0.4067,1.995
310.0,0.5075,1.968
315.0,0.6311,1.858
320.0,0.7805,1.707
325.0,0.9568,1.5419999999999998
330.0,1.158,1.378
335.0,1.3769999999999998,1.226
340.0,1.608,1.089
345.0,1.843,0.9683
350.0,2.076,0.8639
355.0,2.3040000000000003,0.7741
360.0,2.524,0.6974
365.0,2.736,0.632
370.0,2.939,0.5763
375.0,3.132,0.5289
380.0,3.312,0.4886
385.0,3.478,0.4544
390.0,3.63,0.4255
395.0,3.765,0.4011
400.0,3.884,0.3807
405.0,3.988,0.3637
410.0,4.078,0.3498
415.0,4.154,0.3386
420.0,4.22,0.3297
425.0,4.276,0.3229
430.0,4.323,0.3179
435.0,4.363,0.3145
440.0,4.396,0.3124
445.0,4.423,0.3116
450.0,4.445,0.3118
455.0,4.46,0.3129
460.0,4.47,0.3148
465.0,4.475,0.3174
470.0,4.475,0.3206
475.0,4.47,0.3243
480.0,4.461,0.3285
485.0,4.448,0.3331
490.0,4.431,0.338
495.0,4.412,0.3433
500.0,4.39,0.3489
505.0,4.365,0.3546
510.0,4.339,0.3606
515.0,4.31,0.3668
520.0,4.2810000000000015,0.3732
525.0,4.25,0.3796
530.0,4.218,0.3862
535.0,4.185,0.3929
540.0,4.15,0.3996
545.0,4.115,0.4064
550.0,4.079,0.4133
555.0,4.043,0.4202
560.0,4.005,0.4270000000000001
580.0,3.847,0.4544
600.0,3.683,0.4814
620.0,3.517,0.5076
640.0,3.353,0.5331
660.0,3.194,0.5576
680.0,3.039,0.5812
700.0,2.888,0.6039
720.0,2.7430000000000003,0.6254
740.0,2.605,0.6459999999999999
760.0,2.4730000000000003,0.6656
780.0,2.3480000000000003,0.6842
800.0,2.229,0.7020000000000001
850.0,1.959,0.7429
900.0,1.723,0.7791
950.0,1.52,0.8111
1000.0,1.3430000000000002,0.8395
1041.0,1.216,0.8603
1050.0,1.19,0.8646
1100.0,1.058,0.887
1150.0,0.9428,0.9068
1200.0,0.8424,0.9244
1250.0,0.7548,0.9401
1253.6,0.7489,0.9412
1300.0,0.6781,0.954
1350.0,0.6108,0.9664
1400.0,0.5515,0.9773
1450.0,0.4991,0.987
1486.6,0.4647,0.9934
1500.0,0.4528,0.9956
