energy,cross_section,asymmetry_parameter
130.0,0.3324,0.05779
135.0,0.3397,-0.0808
140.0,0.3364,-0.2616
145.0,0.3279,-0.3687
150.0,0.3184,-0.4320000000000001
151.4,0.3158,-0.4434
155.0,0.3098,-0.4609
160.0,0.3031,-0.4595
165.0,0.2984,-0.4326
170.0,0.2952,-0.3864
175.0,0.2931,-0.3274
180.0,0.2918,-0.2616
185.0,0.2908,-0.1933
190.0,0.29,-0.1254
195.0,0.2892,-0.05965
200.0,0.2882,0.0034200000000000003
205.0,0.2872,0.06362999999999999
210.0,0.2861,0.1212
215.0,0.2849,0.1763
220.0,0.2835,0.2293
225.0,0.2821,0.2804
230.0,0.2805,0.3295
235.0,0.2788,0.3769
240.0,0.2771,0.4224
245.0,0.2752,0.4661
250.0,0.2732,0.5077
255.0,0.2711,0.5474
260.0,0.2689,0.5852
265.0,0.2667,0.6209
270.0,0.2644,0.6547
275.0,0.262,0.6867
280.0,0.2596,0.7170000000000001
285.0,0.2572,0.7457
290.0,0.2547,0.7729
295.0,0.2522,0.7988
300.0,0.2497,0.8234
305.0,0.2472,0.847
310.0,0.2447,0.8695
315.0,0.2422,0.8912
320.0,0.2397,0.912
325.0,0.2372,0.932
330.0,0.2347,0.9513
335.0,0.2322,0.97
340.0,0.2297,0.9879
345.0,0.2272,1.005
350.0,0.2247,1.022
355.0,0.2222,1.038
360.0,0.2197,1.054
365.0,0.2173,1.069
370.0,0.2148,1.083
375.0,0.2124,1.097
380.0,0.21,1.111
385.0,0.2076,1.124
390.0,0.2052,1.136
395.0,0.2029,1.149
400.0,0.2006,1.16
405.0,0.1983,1.171
410.0,0.196,1.182
415.0,0.1938,1.193
420.0,0.1916,1.203
425.0,0.1895,1.213
440.0,0.1832,1.241
460.0,0.1751,1.275
480.0,0.1675,1.306
500.0,0.1603,1.3330000000000002
520.0,0.1534,1.359
540.0,0.147,1.381
560.0,0.1409,1.402
580.0,0.1352,1.421
600.0,0.1298,1.4380000000000002
620.0,0.1247,1.454
640.0,0.1198,1.469
660.0,0.1152,1.483
680.0,0.1109,1.496
700.0,0.1068,1.508
720.0,0.1029,1.519
740.0,0.09927,1.529
760.0,0.09579,1.539
780.0,0.09248,1.548
800.0,0.08934,1.557
850.0,0.08215,1.5759999999999998
900.0,0.07578,1.592
950.0,0.07013,1.607
1000.0,0.06508,1.619
1041.0,0.06134,1.628
1050.0,0.06056,1.63
1100.0,0.05649,1.64
1150.0,0.05283,1.648
1200.0,0.0495,1.656
1250.0,0.04649,1.662
1253.6,0.04628,1.663
1300.0,0.04373,1.668
1350.0,0.04122,1.6740000000000002
1400.0,0.03892,1.6780000000000002
1450.0,0.03681,1.682
1486.6,0.03536,1.685
1500.0,0.03485,1.686
