energy,cross_section,asymmetry_parameter
10.2,357300.0,0.8495
15.0,16.52,-0.1841
16.7,19.0,-0.1479
20.0,23.74,-0.01539
21.2,25.39,0.03853
25.0,29.83,0.2078
26.8,31.2,0.2845
30.0,31.89,0.4141
35.0,28.32,0.6012
40.0,21.66,0.7741
40.8,20.55,0.8009
45.0,15.15,0.9387
50.0,10.12,1.1
55.0,6.575,1.263
60.0,4.181,1.429
65.0,2.6060000000000003,1.599
70.0,1.595,1.768
75.0,0.9615,1.916
80.0,0.5765,1.998
85.0,0.3516,1.915
90.0,0.2282,1.531
95.0,0.1684,0.8064
100.0,0.1477,0.00196
105.0,0.1505,-0.5324
110.0,0.1669,-0.7304
115.0,0.1905,-0.7178
120.0,0.2173,-0.6126
125.0,0.2447,-0.4785
130.0,0.2712,-0.3432
132.3,0.2827,-0.2839
135.0,0.2957,-0.2173
140.0,0.3177,-0.1037
145.0,0.3371,-0.002349
150.0,0.3538,0.08784
151.4,0.358,0.1113
155.0,0.3679,0.1682
160.0,0.3796,0.2402
165.0,0.389,0.305
170.0,0.3964,0.3635
175.0,0.402,0.4167
180.0,0.406,0.4654
185.0,0.4086,0.51
190.0,0.4099,0.5511
195.0,0.4101,0.5893
200.0,0.4093,0.6246
205.0,0.4077,0.6576
210.0,0.4052,0.6885
215.0,0.4021,0.7173
220.0,0.3983,0.7444
225.0,0.394,0.7699
230.0,0.3893,0.7939
235.0,0.3842,0.8165
240.0,0.3787,0.8378
245.0,0.373,0.858
250.0,0.3671,0.8771
255.0,0.361,0.8951
260.0,0.3549,0.9123
265.0,0.3486,0.9285
270.0,0.3423,0.9439
275.0,0.3359,0.9586
280.0,0.3296,0.9726
285.0,0.3232,0.9859
290.0,0.317,0.9986
295.0,0.3107,1.011
300.0,0.3046,1.022
305.0,0.2985,1.033
320.0,0.2807,1.064
340.0,0.2581,1.099
360.0,0.2372,1.129
380.0,0.2178,1.155
400.0,0.2001,1.178
420.0,0.184,1.197
440.0,0.1694,1.214
460.0,0.1562,1.228
480.0,0.1442,1.24
500.0,0.1332,1.251
520.0,0.1233,1.261
540.0,0.1142,1.269
560.0,0.1059,1.276
580.0,0.09835,1.281
600.0,0.09148,1.286
620.0,0.08521000000000001,1.291
640.0,0.07946,1.294
660.0,0.0742,1.297
680.0,0.06937,1.2990000000000002
700.0,0.06493,1.301
720.0,0.06085,1.3019999999999998
740.0,0.05709,1.3030000000000002
760.0,0.053620000000000015,1.304
780.0,0.05042,1.304
800.0,0.04746,1.304
850.0,0.04099,1.3019999999999998
900.0,0.0356,1.2990000000000002
950.0,0.03109,1.295
1000.0,0.02728,1.291
1041.0,0.02459,1.286
1050.0,0.02405,1.285
1100.0,0.02129,1.279
1150.0,0.01892,1.272
1200.0,0.016880000000000003,1.265
1250.0,0.01511,1.258
1253.6,0.01499,1.257
1300.0,0.01357,1.25
1350.0,0.01222,1.243
1400.0,0.01104,1.235
1450.0,0.01,1.228
1486.6,0.009318,1.222
1500.0,0.009085,1.22
