energy,cross_section,asymmetry_parameter
55.0,2.7,1.9
60.0,1.957,1.85
65.0,1.406,1.606
70.0,1.035,1.256
75.0,0.7969,0.8554
80.0,0.6479,0.47
85.0,0.5562,0.1578
90.0,0.5002,-0.053620000000000015
95.0,0.4661,-0.1673
100.0,0.4454,-0.203
105.0,0.4329,-0.1838
110.0,0.4254,-0.1294
115.0,0.4208,-0.05434
120.0,0.418,0.03151
125.0,0.4161,0.1215
130.0,0.4146,0.2115
132.3,0.414,0.2522
135.0,0.4132,0.2989
140.0,0.4115,0.3821
145.0,0.4095,0.4602
150.0,0.4072,0.5331
151.4,0.4064,0.5525
155.0,0.4044,0.6005
160.0,0.4011,0.6627
165.0,0.3975,0.72
170.0,0.3936,0.7728
175.0,0.3894,0.8213
180.0,0.3849,0.8661
185.0,0.3803,0.9075
190.0,0.3755,0.9458
195.0,0.3705,0.9814
200.0,0.3655,1.015
205.0,0.3604,1.045
210.0,0.3552,1.074
215.0,0.35,1.102
220.0,0.3448,1.127
225.0,0.3396,1.151
230.0,0.3343,1.1740000000000002
235.0,0.3291,1.195
240.0,0.3238,1.216
245.0,0.3186,1.235
250.0,0.3134,1.253
255.0,0.3082,1.271
260.0,0.3031,1.287
265.0,0.2981,1.3030000000000002
270.0,0.293,1.317
275.0,0.2881,1.332
280.0,0.2832,1.345
285.0,0.2784,1.358
290.0,0.2737,1.37
295.0,0.2691,1.381
300.0,0.2645,1.392
305.0,0.2601,1.403
310.0,0.2557,1.413
315.0,0.2514,1.422
320.0,0.2472,1.431
325.0,0.2431,1.44
330.0,0.2391,1.4480000000000002
335.0,0.2352,1.457
340.0,0.2313,1.464
345.0,0.2275,1.472
360.0,0.2166,1.492
380.0,0.2031,1.516
400.0,0.1905,1.537
420.0,0.1789,1.555
440.0,0.1683,1.571
460.0,0.1585,1.585
480.0,0.1494,1.597
500.0,0.1411,1.608
520.0,0.1334,1.617
540.0,0.1263,1.625
560.0,0.1197,1.632
580.0,0.1135,1.639
600.0,0.1078,1.645
620.0,0.1025,1.65
640.0,0.09749,1.654
660.0,0.09286,1.658
680.0,0.08853,1.661
700.0,0.08449,1.664
720.0,0.08071,1.6669999999999998
740.0,0.07715,1.669
760.0,0.07381,1.671
780.0,0.07066,1.673
800.0,0.0677,1.6740000000000002
850.0,0.06103,1.6769999999999998
900.0,0.05526,1.6780000000000002
950.0,0.05023,1.679
1000.0,0.04582,1.6780000000000002
1041.0,0.04259,1.6769999999999998
1050.0,0.04193,1.6769999999999998
1100.0,0.03849,1.675
1150.0,0.03544,1.673
1200.0,0.03271,1.671
1250.0,0.03027,1.668
1253.6,0.0301,1.668
1300.0,0.02807,1.665
1350.0,0.02609,1.662
1400.0,0.0243,1.659
1450.0,0.02267,1.655
1486.6,0.02157,1.652
1500.0,0.02119,1.651
