energy,cross_section,asymmetry_parameter
80.0,0.3113,2
100.0,0.2929,2
120.0,0.2695,2
132.3,0.2547,2
140.0,0.2449,2
151.4,0.2298,2
160.0,0.2183,2
180.0,0.1933,2
200.0,0.1718,2
220.0,0.1537,2
240.0,0.1382,2
260.0,0.1246,2
280.0,0.1128,2
300.0,0.1025,2
320.0,0.09351,2
340.0,0.0857,2
360.0,0.07884,2
380.0,0.07276,2
400.0,0.06733,2
420.0,0.06247000000000001,2
440.0,0.05811,2
460.0,0.05419,2
480.0,0.05066,2
500.0,0.04748,2
520.0,0.04459,2
540.0,0.04196,2
560.0,0.03955,2
580.0,0.03734,2
600.0,0.03531,2
620.0,0.03344,2
640.0,0.03172,2
660.0,0.03013,2
680.0,0.02866,2
700.0,0.02729,2
720.0,0.02602,2
740.0,0.02484,2
760.0,0.02374,2
780.0,0.02271,2
800.0,0.02175,2
850.0,0.01959,2
900.0,0.017740000000000002,2
950.0,0.01615,2
1000.0,0.01476,2
1041.0,0.01376,2
1050.0,0.01355,2
1100.0,0.01248,2
1150.0,0.01154,2
1200.0,0.0107,2
1250.0,0.009944,2
1253.6,0.009893,2
1300.0,0.00927,2
1350.0,0.008662000000000001,2
1400.0,0.008112000000000001,2
1450.0,0.007614,2
1486.6,0.007279000000000002,2
1500.0,0.007162000000000002,2
