energy,cross_section,asymmetry_parameter
225.0,0.369,2
230.0,0.3742,2
235.0,0.3773,2
240.0,0.3795,2
245.0,0.3802,2
250.0,0.379,2
255.0,0.3758,2
260.0,0.371,2
265.0,0.3649,2
270.0,0.358,2
275.0,0.3506,2
280.0,0.3431,2
285.0,0.3357,2
290.0,0.3286,2
295.0,0.3217,2
300.0,0.3152,2
305.0,0.309,2
310.0,0.3031,2
315.0,0.2975,2
320.0,0.2921,2
325.0,0.2869,2
330.0,0.2819,2
335.0,0.2769,2
340.0,0.272,2
345.0,0.2672,2
350.0,0.2624,2
355.0,0.2577,2
360.0,0.253,2
365.0,0.2484,2
370.0,0.2438,2
375.0,0.2393,2
380.0,0.2349,2
385.0,0.2306,2
390.0,0.2263,2
395.0,0.2222,2
400.0,0.2181,2
405.0,0.2142,2
410.0,0.2104,2
415.0,0.2066,2
420.0,0.203,2
425.0,0.1994,2
430.0,0.196,2
435.0,0.1926,2
440.0,0.1894,2
445.0,0.1862,2
450.0,0.1831,2
455.0,0.18,2
460.0,0.1771,2
465.0,0.1742,2
470.0,0.1713,2
475.0,0.1685,2
480.0,0.1658,2
485.0,0.1631,2
490.0,0.1605,2
495.0,0.1579,2
500.0,0.1554,2
505.0,0.1529,2
510.0,0.1505,2
515.0,0.1481,2
520.0,0.1458,2
540.0,0.1369,2
560.0,0.1288,2
580.0,0.1213,2
600.0,0.1145,2
620.0,0.1082,2
640.0,0.1024,2
660.0,0.09695,2
680.0,0.09191,2
700.0,0.08722,2
720.0,0.08284,2
740.0,0.07877,2
760.0,0.07497999999999999,2
780.0,0.07145,2
800.0,0.06815,2
850.0,0.06078,2
900.0,0.05445,2
950.0,0.04899,2
1000.0,0.04427,2
1041.0,0.04086,2
1050.0,0.04016,2
1100.0,0.03657,2
1150.0,0.0334,2
1200.0,0.03059,2
1250.0,0.0281,2
1253.6,0.02793,2
1300.0,0.02588,2
1350.0,0.0239,2
1400.0,0.02212,2
1450.0,0.02052,2
1486.6,0.01945,2
1500.0,0.01907,2
