energy,cross_section,asymmetry_parameter
45.0,3.189,1.41
50.0,10.18,0.5274
55.0,31.3,0.233
60.0,50.71,0.3166
65.0,47.28,0.4919
70.0,35.34,0.6879
75.0,24.14,0.8866
80.0,15.79,1.082
85.0,10.16,1.273
90.0,6.5520000000000005,1.457
95.0,4.256,1.633
100.0,2.789,1.7919999999999998
105.0,1.842,1.922
110.0,1.23,1.992
115.0,0.8366,1.955
120.0,0.59,1.745
125.0,0.4427,1.319
130.0,0.3627,0.722
132.3,0.3422,0.4297
135.0,0.3282,0.1057
140.0,0.3237,-0.3704
145.0,0.3388,-0.6468
150.0,0.3662,-0.7552
151.4,0.3753,-0.7636
155.0,0.4008,-0.7545
160.0,0.4393,-0.6936
165.0,0.4792,-0.6039
170.0,0.5189,-0.5034
175.0,0.5573,-0.4017
180.0,0.5937,-0.3035
185.0,0.6276,-0.211
190.0,0.6585,-0.1251
195.0,0.6865,-0.04573
200.0,0.7114,0.02728
205.0,0.7333,0.0944
210.0,0.7523,0.1562
215.0,0.7686,0.2131
220.0,0.7824,0.2656
225.0,0.7938,0.3143
230.0,0.8031,0.3595
235.0,0.8104,0.4016
240.0,0.816,0.4409
245.0,0.82,0.4778
250.0,0.8226,0.5124
255.0,0.8238,0.5449
260.0,0.8237,0.5757
265.0,0.8226,0.6047
270.0,0.8204,0.6322
275.0,0.8172,0.6583
280.0,0.8132,0.6831
285.0,0.8085,0.7066
290.0,0.8029999999999999,0.7289
295.0,0.7969,0.7502
300.0,0.7903,0.7705
305.0,0.7831,0.7898
310.0,0.7756,0.8083
315.0,0.7677,0.8259
320.0,0.7595,0.8427
325.0,0.7509999999999999,0.8588
330.0,0.7424,0.8741
335.0,0.7336,0.8889
340.0,0.7247,0.903
360.0,0.6882,0.9541
380.0,0.6514,0.998
400.0,0.6149,1.036
420.0,0.5793,1.07
440.0,0.5451,1.099
460.0,0.5125,1.125
480.0,0.4818,1.148
500.0,0.453,1.168
520.0,0.426,1.186
540.0,0.4006,1.202
560.0,0.3769,1.216
580.0,0.3547,1.229
600.0,0.334,1.241
620.0,0.3147,1.251
640.0,0.2968,1.26
660.0,0.2801,1.268
680.0,0.2645,1.276
700.0,0.2499,1.2819999999999998
720.0,0.2363,1.288
740.0,0.2236,1.294
760.0,0.2117,1.298
780.0,0.2006,1.3019999999999998
800.0,0.1902,1.306
850.0,0.1671,1.3130000000000002
900.0,0.1474,1.318
950.0,0.1305,1.32
1000.0,0.116,1.3219999999999998
1041.0,0.1056,1.3219999999999998
1050.0,0.1035,1.3219999999999998
1100.0,0.09267,1.32
1150.0,0.08324,1.318
1200.0,0.07501000000000001,1.3159999999999998
1250.0,0.06777999999999999,1.3119999999999998
1253.6,0.06729,1.3119999999999998
1300.0,0.06143,1.308
1350.0,0.055810000000000005,1.304
1400.0,0.05084,1.2990000000000002
1450.0,0.04642,1.294
1486.6,0.04349,1.29
1500.0,0.04248,1.289
