energy,cross_section,asymmetry_parameter
16.7,0.03493,2
20.0,0.1278,2
21.2,0.1575,2
25.0,0.2265,2
26.8,0.2474,2
30.0,0.2705,2
35.0,0.2817,2
40.0,0.2753,2
40.8,0.2733,2
45.0,0.2602,2
50.0,0.2415,2
55.0,0.2221,2
60.0,0.2037,2
65.0,0.1867,2
70.0,0.1715,2
75.0,0.158,2
80.0,0.146,2
85.0,0.1353,2
90.0,0.1259,2
95.0,0.1174,2
100.0,0.1097,2
105.0,0.1028,2
110.0,0.09658,2
115.0,0.09088,2
120.0,0.0857,2
125.0,0.08095,2
130.0,0.07662000000000001,2
132.3,0.07475,2
135.0,0.07265,2
140.0,0.06901,2
145.0,0.06567,2
150.0,0.0626,2
151.4,0.06179,2
155.0,0.059779999999999986,2
160.0,0.05717000000000001,2
165.0,0.05475,2
170.0,0.05251,2
175.0,0.05042,2
180.0,0.04847,2
185.0,0.04664,2
190.0,0.04493,2
195.0,0.04331,2
200.0,0.04178,2
205.0,0.04034,2
210.0,0.03897,2
215.0,0.03767,2
220.0,0.03643,2
225.0,0.03525,2
230.0,0.03413,2
235.0,0.03306,2
240.0,0.03205,2
245.0,0.03108,2
250.0,0.03015,2
255.0,0.02926,2
260.0,0.02842,2
265.0,0.027610000000000003,2
270.0,0.02684,2
275.0,0.0261,2
280.0,0.0254,2
285.0,0.02472,2
290.0,0.02408,2
295.0,0.02345,2
300.0,0.02286,2
305.0,0.02228,2
310.0,0.021730000000000003,2
320.0,0.02069,2
340.0,0.01883,2
360.0,0.01721,2
380.0,0.0158,2
400.0,0.01457,2
420.0,0.01349,2
440.0,0.01252,2
460.0,0.01166,2
480.0,0.01089,2
500.0,0.01019,2
520.0,0.009553,2
540.0,0.008975,2
560.0,0.008447,2
580.0,0.007965,2
600.0,0.007523999999999999,2
620.0,0.007119,2
640.0,0.006745999999999999,2
660.0,0.006403,2
680.0,0.006085,2
700.0,0.005790999999999999,2
720.0,0.005518,2
740.0,0.005265,2
760.0,0.005029,2
780.0,0.004809000000000001,2
800.0,0.004604,2
850.0,0.004145,2
900.0,0.003751,2
950.0,0.003411,2
1000.0,0.003115,2
1041.0,0.0029,2
1050.0,0.002856,2
1100.0,0.002628,2
1150.0,0.002427,2
1200.0,0.002249,2
1250.0,0.00209,2
1253.6,0.002079,2
1300.0,0.001947,2
1350.0,0.001818,2
1400.0,0.001702,2
1450.0,0.001596,2
1486.6,0.001525,2
1500.0,0.0015,2
