energy,cross_section,asymmetry_parameter
65.0,0.4719,2
70.0,0.4646,2
75.0,0.459,2
80.0,0.4533,2
85.0,0.4459,2
90.0,0.4364,2
95.0,0.4246,2
100.0,0.411,2
105.0,0.3962,2
110.0,0.3809,2
115.0,0.3657,2
120.0,0.3508,2
125.0,0.3366,2
130.0,0.3231,2
132.3,0.3171,2
135.0,0.3103,2
140.0,0.2982,2
145.0,0.2868,2
150.0,0.2759,2
151.4,0.273,2
155.0,0.2656,2
160.0,0.2557,2
165.0,0.2463,2
170.0,0.2372,2
175.0,0.2286,2
180.0,0.2204,2
185.0,0.2125,2
190.0,0.205,2
195.0,0.1979,2
200.0,0.1911,2
205.0,0.1847,2
210.0,0.1786,2
215.0,0.1728,2
220.0,0.1673,2
225.0,0.162,2
230.0,0.157,2
235.0,0.1522,2
240.0,0.1476,2
245.0,0.1432,2
250.0,0.1389,2
255.0,0.1349,2
260.0,0.131,2
265.0,0.1273,2
270.0,0.1237,2
275.0,0.1203,2
280.0,0.117,2
285.0,0.1138,2
290.0,0.1107,2
295.0,0.1078,2
300.0,0.105,2
305.0,0.1023,2
310.0,0.0997,2
315.0,0.0972,2
320.0,0.09479,2
325.0,0.09247,2
330.0,0.09023,2
335.0,0.08807999999999999,2
340.0,0.08599,2
345.0,0.08399,2
350.0,0.08204,2
355.0,0.08017,2
380.0,0.07165,2
400.0,0.06575,2
420.0,0.06054,2
440.0,0.05592,2
460.0,0.05181,2
480.0,0.04813,2
500.0,0.04482,2
520.0,0.04182,2
540.0,0.03911,2
560.0,0.03665,2
580.0,0.03442,2
600.0,0.03238,2
620.0,0.03051,2
640.0,0.02879,2
660.0,0.02721,2
680.0,0.02576,2
700.0,0.02441,2
720.0,0.02316,2
740.0,0.02201,2
760.0,0.02094,2
780.0,0.01994,2
800.0,0.01901,2
850.0,0.01694,2
900.0,0.01519,2
950.0,0.01368,2
1000.0,0.01239,2
1041.0,0.01145,2
1050.0,0.01126,2
1100.0,0.01028,2
1150.0,0.009413,2
1200.0,0.008648999999999999,2
1250.0,0.007972,2
1253.6,0.007926,2
1300.0,0.007367,2
1350.0,0.006827,2
1400.0,0.006342,2
1450.0,0.005904,2
1486.6,0.00561,2
1500.0,0.005508,2
