energy,cross_section,asymmetry_parameter
170.0,0.5062,-0.7685
175.0,0.5546,-0.893
180.0,0.5713,-0.7706
185.0,0.5854,-0.6099
190.0,0.6014,-0.4484
195.0,0.6192,-0.2937
200.0,0.6377,-0.1478
205.0,0.6559,-0.01176
210.0,0.6727,0.1136
215.0,0.6876,0.2278
220.0,0.7002,0.3311
225.0,0.7102,0.424
230.0,0.718,0.5072
235.0,0.7238,0.5817
240.0,0.7279,0.6485
245.0,0.7306,0.7086
250.0,0.7323,0.7628
255.0,0.733,0.8119
260.0,0.7331,0.8568
265.0,0.7325,0.898
270.0,0.7314,0.936
275.0,0.7297,0.9713
280.0,0.7275,1.004
285.0,0.7247,1.035
290.0,0.7213,1.064
295.0,0.7174,1.091
300.0,0.713,1.116
305.0,0.708,1.14
310.0,0.7025,1.162
315.0,0.6966,1.1840000000000002
320.0,0.6903,1.204
325.0,0.6838,1.222
330.0,0.6769,1.24
335.0,0.6699,1.257
340.0,0.6627,1.272
345.0,0.6554,1.287
350.0,0.6481,1.301
355.0,0.6407,1.314
360.0,0.6334,1.327
365.0,0.626,1.339
370.0,0.6187,1.35
375.0,0.6114,1.36
380.0,0.6042,1.371
385.0,0.597,1.38
390.0,0.5898,1.389
395.0,0.5827,1.398
400.0,0.5755,1.406
405.0,0.5685,1.414
410.0,0.5614,1.422
415.0,0.5544,1.429
420.0,0.5474,1.4369999999999998
425.0,0.5404,1.443
430.0,0.5334,1.45
435.0,0.5265,1.456
440.0,0.5197,1.462
445.0,0.5129,1.4680000000000002
450.0,0.5061,1.473
455.0,0.4995,1.479
460.0,0.4929,1.484
480.0,0.4673,1.503
500.0,0.4432,1.519
520.0,0.4207,1.5319999999999998
540.0,0.3995,1.544
560.0,0.3795,1.554
580.0,0.3606,1.5630000000000002
600.0,0.3428,1.57
620.0,0.3259,1.577
640.0,0.31,1.5830000000000002
660.0,0.2952,1.588
680.0,0.2813,1.592
700.0,0.2682,1.596
720.0,0.2559,1.599
740.0,0.2443,1.601
760.0,0.2333,1.604
780.0,0.223,1.605
800.0,0.2132,1.607
850.0,0.191,1.609
900.0,0.1718,1.61
950.0,0.1551,1.609
1000.0,0.1404,1.608
1041.0,0.1297,1.606
1050.0,0.1275,1.606
1100.0,0.1161,1.6030000000000002
1150.0,0.106,1.599
1200.0,0.09704,1.595
1250.0,0.08902,1.591
1253.6,0.08847999999999999,1.591
1300.0,0.08185,1.586
1350.0,0.07545,1.582
1400.0,0.06969,1.577
1450.0,0.06447,1.571
1486.6,0.06095,1.568
1500.0,0.05973,1.5659999999999998
