energy,cross_section,asymmetry_parameter
151.4,0.5065,2
155.0,0.4864,2
160.0,0.4756,2
165.0,0.4729,2
170.0,0.4718,2
175.0,0.4692,2
180.0,0.4641,2
185.0,0.4568,2
190.0,0.4476,2
195.0,0.4373,2
200.0,0.4266,2
205.0,0.4158,2
210.0,0.4054,2
215.0,0.3953,2
220.0,0.3857,2
225.0,0.3766,2
230.0,0.3678,2
235.0,0.3593,2
240.0,0.3511,2
245.0,0.3431,2
250.0,0.3352,2
255.0,0.3274,2
260.0,0.3197,2
265.0,0.3122,2
270.0,0.3047,2
275.0,0.2974,2
280.0,0.2903,2
285.0,0.2833,2
290.0,0.2766,2
295.0,0.27,2
300.0,0.2637,2
305.0,0.2575,2
310.0,0.2516,2
315.0,0.2458,2
320.0,0.2403,2
325.0,0.2349,2
330.0,0.2297,2
335.0,0.2247,2
340.0,0.2198,2
345.0,0.2151,2
350.0,0.2105,2
355.0,0.206,2
360.0,0.2017,2
365.0,0.1974,2
370.0,0.1933,2
375.0,0.1893,2
380.0,0.1854,2
385.0,0.1815,2
390.0,0.1778,2
395.0,0.1742,2
400.0,0.1707,2
405.0,0.1673,2
410.0,0.1639,2
415.0,0.1607,2
420.0,0.1575,2
425.0,0.1545,2
430.0,0.1515,2
435.0,0.1486,2
440.0,0.1458,2
445.0,0.1431,2
450.0,0.1404,2
460.0,0.1353,2
480.0,0.1258,2
500.0,0.1172,2
520.0,0.1094,2
540.0,0.1023,2
560.0,0.09579,2
580.0,0.08985,2
600.0,0.08442999999999999,2
620.0,0.07945,2
640.0,0.07488,2
660.0,0.07066,2
680.0,0.06676,2
700.0,0.06315,2
720.0,0.0598,2
740.0,0.05669,2
760.0,0.0538,2
780.0,0.05112,2
800.0,0.04862,2
850.0,0.04307,2
900.0,0.03835,2
950.0,0.03431,2
1000.0,0.03084,2
1041.0,0.02835,2
1050.0,0.02784,2
1100.0,0.02523,2
1150.0,0.02293,2
1200.0,0.02092,2
1250.0,0.01915,2
1253.6,0.01903,2
1300.0,0.01757,2
1350.0,0.01616,2
1400.0,0.01491,2
1450.0,0.01378,2
1486.6,0.013030000000000002,2
1500.0,0.01277,2
