energy,cross_section,asymmetry_parameter
10.2,13.05,1.601
15.0,2.123,1.888
16.7,1.145,1.7919999999999998
20.0,0.4188,1.052
21.2,0.3246,0.6333
25.0,0.2327,-0.242
26.8,0.2352,-0.2557
30.0,0.2594,-0.007909000000000001
35.0,0.301,0.4296
40.0,0.3266,0.7391
40.8,0.3289,0.7783
45.0,0.3346,0.9496
50.0,0.3294,1.098
55.0,0.3154,1.206
60.0,0.2967,1.286
65.0,0.2758,1.349
70.0,0.2547,1.3969999999999998
75.0,0.2345,1.436
80.0,0.2155,1.467
85.0,0.198,1.492
90.0,0.1821,1.5119999999999998
95.0,0.1677,1.529
100.0,0.1545,1.543
105.0,0.1426,1.555
110.0,0.1318,1.564
115.0,0.122,1.5719999999999998
120.0,0.113,1.579
125.0,0.1049,1.584
130.0,0.09755,1.589
132.3,0.09438,1.591
135.0,0.09084,1.5930000000000002
140.0,0.08475,1.596
145.0,0.0792,1.598
150.0,0.07415,1.6
151.4,0.07281,1.6
155.0,0.06954,1.601
160.0,0.06532,1.602
165.0,0.06146,1.602
170.0,0.05792000000000001,1.6030000000000002
175.0,0.05465,1.602
180.0,0.05164,1.602
185.0,0.04886,1.601
190.0,0.04627,1.601
195.0,0.04387,1.6
200.0,0.04163,1.598
205.0,0.03954,1.597
210.0,0.03759,1.595
215.0,0.03576,1.594
220.0,0.03404,1.592
225.0,0.03243,1.59
230.0,0.030910000000000007,1.588
235.0,0.02949,1.586
240.0,0.02815,1.584
245.0,0.02688,1.581
250.0,0.02569,1.579
255.0,0.02457,1.577
260.0,0.02351,1.574
265.0,0.0225,1.571
270.0,0.02156,1.569
275.0,0.02066,1.5659999999999998
280.0,0.01982,1.5630000000000002
285.0,0.01902,1.56
290.0,0.01826,1.557
295.0,0.01754,1.554
300.0,0.01686,1.551
305.0,0.01621,1.548
320.0,0.01445,1.538
340.0,0.01247,1.525
360.0,0.01084,1.513
380.0,0.009475,1.5
400.0,0.008331,1.487
420.0,0.007365000000000002,1.474
440.0,0.006542,1.462
460.0,0.005836,1.45
480.0,0.005226,1.4380000000000002
500.0,0.004693999999999999,1.426
520.0,0.004229,1.414
540.0,0.003821,1.403
560.0,0.003461,1.391
580.0,0.003144,1.38
600.0,0.002862,1.368
620.0,0.002612,1.357
640.0,0.002389,1.346
660.0,0.00219,1.335
680.0,0.002012,1.324
700.0,0.001852,1.3130000000000002
720.0,0.001708,1.3019999999999998
740.0,0.001579,1.2919999999999998
760.0,0.001462,1.281
780.0,0.001356,1.271
800.0,0.00126,1.261
850.0,0.001056,1.236
900.0,0.0008926,1.213
950.0,0.0007598,1.19
1000.0,0.0006512,1.168
1041.0,0.0005763999999999999,1.151
1050.0,0.0005615,1.147
1100.0,0.0004871,1.127
1150.0,0.0004249,1.107
1200.0,0.0003727,1.088
1250.0,0.0003285,1.069
1253.6,0.0003256,1.068
1300.0,0.0002909,1.052
1350.0,0.0002587,1.035
1400.0,0.00023090000000000006,1.018
1450.0,0.0002067,1.002
1486.6,0.000191,0.9904
1500.0,0.0001857,0.9862
