energy,cross_section,asymmetry_parameter
1110.0,0.06064,1.962
1115.0,0.5118,1.43
1120.0,1.119,1.089
1125.0,1.482,0.8705
1130.0,1.653,0.7324
1135.0,1.7480000000000002,0.6389
1140.0,1.797,0.5729
1145.0,1.81,0.5252
1150.0,1.8,0.4907
1155.0,1.78,0.466
1160.0,1.759,0.4489
1165.0,1.74,0.4376
1170.0,1.724,0.4306
1175.0,1.709,0.4270000000000001
1180.0,1.693,0.426
1185.0,1.6769999999999998,0.4270000000000001
1190.0,1.66,0.4296
1195.0,1.642,0.4336
1200.0,1.6230000000000002,0.4387
1205.0,1.606,0.4447
1210.0,1.588,0.4515
1215.0,1.5719999999999998,0.4589
1220.0,1.557,0.4668
1225.0,1.541,0.4752
1230.0,1.526,0.4838
1235.0,1.5119999999999998,0.4926
1240.0,1.497,0.5016
1245.0,1.482,0.5107
1250.0,1.467,0.5198
1253.6,1.456,0.5263
1255.0,1.452,0.5289
1260.0,1.4380000000000002,0.5379999999999999
1265.0,1.4240000000000002,0.5471
1270.0,1.41,0.5563
1275.0,1.396,0.5654
1280.0,1.383,0.5744
1285.0,1.37,0.5835
1290.0,1.357,0.5924
1295.0,1.345,0.6014
1300.0,1.3330000000000002,0.6102
1305.0,1.32,0.6189
1310.0,1.308,0.6276
1315.0,1.296,0.6361
1320.0,1.284,0.6445
1325.0,1.272,0.6528
1330.0,1.26,0.6609
1335.0,1.249,0.6689
1340.0,1.237,0.6768
1345.0,1.226,0.6846
1350.0,1.215,0.6923
1355.0,1.204,0.6999
1360.0,1.193,0.7073
1365.0,1.183,0.7147
1370.0,1.172,0.7219
1375.0,1.162,0.7291
1380.0,1.151,0.7361
1385.0,1.141,0.7431
1390.0,1.131,0.7499
1395.0,1.121,0.7566
1400.0,1.111,0.7633
1405.0,1.101,0.7698
1450.0,1.018,0.8238
1486.6,0.956,0.8624
1500.0,0.9345,0.8754
