energy,cross_section,asymmetry_parameter
30.0,9.028,1.89
35.0,4.9110000000000005,1.946
40.0,2.829,1.832
40.81,2.603,1.803
45.0,1.745,1.615
50.0,1.157,1.3259999999999998
55.0,0.8213,1.002
60.0,0.6206,0.6774
65.0,0.4959,0.3877
70.0,0.4161,0.1583
75.0,0.3636,0.0006451
80.0,0.328,-0.08876
85.0,0.303,-0.1225
90.0,0.2846,-0.1156
95.0,0.2705,-0.0818
100.0,0.2591,-0.03106
105.0,0.2495,0.02954
110.0,0.2412,0.09533
115.0,0.2339,0.1632
120.0,0.2272,0.231
125.0,0.221,0.2975
130.0,0.2152,0.3615
132.3,0.2127,0.39
135.0,0.2097,0.4225
140.0,0.2045,0.4802
145.0,0.1995,0.5345
150.0,0.1947,0.5854
151.4,0.1934,0.5991
155.0,0.1901,0.6331
160.0,0.1856,0.6779
165.0,0.1813,0.7199
170.0,0.1771,0.7596
175.0,0.173,0.7969
180.0,0.1691,0.8323
185.0,0.1653,0.8657
190.0,0.1616,0.8974
195.0,0.1581,0.9274
200.0,0.1546,0.9558
205.0,0.1512,0.9828
210.0,0.14800000000000002,1.008
215.0,0.1448,1.033
220.0,0.1417,1.056
225.0,0.1388,1.077
230.0,0.1359,1.098
235.0,0.1331,1.118
240.0,0.1304,1.137
245.0,0.1278,1.155
250.0,0.1252,1.172
255.0,0.1228,1.188
260.0,0.1204,1.204
265.0,0.1181,1.219
270.0,0.1158,1.233
275.0,0.1136,1.247
280.0,0.1115,1.26
285.0,0.1094,1.273
290.0,0.1074,1.286
295.0,0.1054,1.298
300.0,0.1035,1.3090000000000002
305.0,0.1016,1.32
310.0,0.09982,1.331
315.0,0.09806,1.341
320.0,0.09634,1.351
325.0,0.09468,1.36
340.0,0.08993,1.386
360.0,0.08415,1.418
380.0,0.07892,1.445
400.0,0.07416,1.47
420.0,0.06982999999999999,1.492
440.0,0.06587,1.511
460.0,0.06225,1.529
480.0,0.058920000000000014,1.544
500.0,0.05586,1.5590000000000002
520.0,0.05303,1.571
540.0,0.0504,1.5830000000000002
560.0,0.04798,1.594
580.0,0.04572,1.604
600.0,0.04362,1.6130000000000002
620.0,0.04167,1.621
640.0,0.03984,1.628
660.0,0.03813,1.635
680.0,0.03652,1.641
700.0,0.03502,1.6469999999999998
720.0,0.03361,1.653
740.0,0.03228,1.658
760.0,0.03102,1.662
780.0,0.02984,1.6669999999999998
800.0,0.02872,1.671
850.0,0.02618,1.679
900.0,0.02396,1.686
950.0,0.02201,1.692
1000.0,0.02027,1.6969999999999998
1041.0,0.019,1.7
1050.0,0.01874,1.7009999999999998
1100.0,0.01736,1.704
1150.0,0.01612,1.706
1200.0,0.01501,1.7080000000000002
1250.0,0.014,1.709
1253.6,0.01394,1.709
1300.0,0.01309,1.71
1350.0,0.01226,1.711
1400.0,0.01151,1.711
1450.0,0.01082,1.711
1486.6,0.01035,1.711
1500.0,0.01019,1.711
