energy,cross_section,asymmetry_parameter
60.0,0.3332,2
80.0,0.29,2
100.0,0.2353,2
120.0,0.1929,2
132.3,0.1716,2
140.0,0.1598,2
151.4,0.1443,2
160.0,0.1341,2
180.0,0.1143,2
200.0,0.09863,2
220.0,0.08597,2
240.0,0.07567,2
260.0,0.06722,2
280.0,0.06017,2
300.0,0.0542,2
320.0,0.0491,2
340.0,0.04473,2
360.0,0.04095,2
380.0,0.03764,2
400.0,0.03474,2
420.0,0.03217,2
440.0,0.02988,2
460.0,0.02785,2
480.0,0.02603,2
500.0,0.02438,2
520.0,0.02289,2
540.0,0.02154,2
560.0,0.02031,2
580.0,0.019180000000000003,2
600.0,0.01815,2
620.0,0.01721,2
640.0,0.01633,2
660.0,0.01553,2
680.0,0.01478,2
700.0,0.01409,2
720.0,0.01345,2
740.0,0.01285,2
760.0,0.01229,2
780.0,0.01177,2
800.0,0.01128,2
850.0,0.01019,2
900.0,0.009247,2
950.0,0.008433,2
1000.0,0.007723999999999998,2
1041.0,0.007208,2
1050.0,0.007101000000000001,2
1100.0,0.006552,2
1150.0,0.006064,2
1200.0,0.005629,2
1250.0,0.00524,2
1253.6,0.005213000000000001,2
1300.0,0.004889,2
1350.0,0.004574,2
1400.0,0.004287,2
1450.0,0.004027,2
1486.6,0.003852,2
1500.0,0.00379,2
