energy,cross_section,asymmetry_parameter
16.7,0.06538,2
20.0,0.1512,2
21.2,0.1749,2
25.0,0.2254,2
26.8,0.2389,2
30.0,0.2517,2
35.0,0.2532,2
40.0,0.2424,2
40.8,0.2401,2
45.0,0.2262,2
50.0,0.2083,2
55.0,0.1905,2
60.0,0.1739,2
65.0,0.159,2
70.0,0.1456,2
75.0,0.1338,2
80.0,0.1234,2
85.0,0.1142,2
90.0,0.1061,2
95.0,0.09881,2
100.0,0.0923,2
105.0,0.08644,2
110.0,0.08115,2
115.0,0.07635,2
120.0,0.07199,2
125.0,0.06801,2
130.0,0.06437999999999999,2
132.3,0.06281,2
135.0,0.06105,2
140.0,0.05801,2
145.0,0.055220000000000005,2
150.0,0.052660000000000005,2
151.4,0.05198,2
155.0,0.05029,2
160.0,0.04811,2
165.0,0.04609,2
170.0,0.04422,2
175.0,0.04247,2
180.0,0.04084,2
185.0,0.03932,2
190.0,0.03788,2
195.0,0.03653,2
200.0,0.03525,2
205.0,0.03404,2
210.0,0.03289,2
215.0,0.03179,2
220.0,0.030760000000000006,2
225.0,0.02977,2
230.0,0.02882,2
235.0,0.02793,2
240.0,0.02707,2
245.0,0.02625,2
250.0,0.02547,2
255.0,0.02472,2
260.0,0.02401,2
265.0,0.02333,2
270.0,0.02268,2
275.0,0.02205,2
280.0,0.02146,2
285.0,0.020880000000000003,2
290.0,0.02034,2
295.0,0.01981,2
300.0,0.0193,2
305.0,0.01882,2
310.0,0.01835,2
320.0,0.01747,2
340.0,0.01589,2
360.0,0.01453,2
380.0,0.013330000000000002,2
400.0,0.01229,2
420.0,0.01138,2
440.0,0.01056,2
460.0,0.009838,2
480.0,0.009185,2
500.0,0.008594,2
520.0,0.008057,2
540.0,0.0075689999999999985,2
560.0,0.007123999999999998,2
580.0,0.006717,2
600.0,0.006344,2
620.0,0.0060030000000000005,2
640.0,0.005688,2
660.0,0.005398,2
680.0,0.00513,2
700.0,0.004882,2
720.0,0.004653,2
740.0,0.004439,2
760.0,0.004241,2
780.0,0.004056000000000001,2
800.0,0.003883,2
850.0,0.003496,2
900.0,0.003164,2
950.0,0.002876,2
1000.0,0.002627,2
1041.0,0.002445,2
1050.0,0.002408,2
1100.0,0.002216,2
1150.0,0.002047,2
1200.0,0.001896,2
1250.0,0.001762,2
1253.6,0.0017530000000000002,2
1300.0,0.0016420000000000002,2
1350.0,0.001533,2
1400.0,0.001435,2
1450.0,0.0013460000000000002,2
1486.6,0.001286,2
1500.0,0.001265,2
