energy,cross_section,asymmetry_parameter
150.0,0.4237,1.31
151.4,0.4731,1.6
155.0,0.7335,1.862
160.0,1.422,1.275
165.0,2.1630000000000003,0.7455
170.0,2.843,0.4413
175.0,3.4330000000000003,0.2771
180.0,3.901,0.1939
185.0,4.245,0.1586
190.0,4.499,0.1524
195.0,4.6960000000000015,0.1641
200.0,4.855,0.1867
205.0,4.985,0.2157
210.0,5.085,0.2481
215.0,5.154,0.282
220.0,5.192,0.3162
225.0,5.2029999999999985,0.3499
230.0,5.19,0.3829
235.0,5.16,0.415
240.0,5.117,0.446
245.0,5.064,0.4759
250.0,5.003,0.5048
255.0,4.934,0.5326
260.0,4.86,0.5593
265.0,4.78,0.5849
270.0,4.694,0.6094
275.0,4.605,0.6328
280.0,4.512,0.6552
285.0,4.417,0.6765
290.0,4.32,0.6969
295.0,4.224,0.7164
300.0,4.127,0.735
305.0,4.032,0.7528
310.0,3.937,0.7698
315.0,3.844,0.7862
320.0,3.751,0.8019
325.0,3.66,0.8170000000000001
330.0,3.571,0.8315
335.0,3.482,0.8455
340.0,3.395,0.8589
345.0,3.31,0.8718
350.0,3.2260000000000004,0.8842
355.0,3.143,0.8961
360.0,3.063,0.9076
365.0,2.984,0.9186
370.0,2.908,0.9292
375.0,2.833,0.9394
380.0,2.761,0.9492
385.0,2.69,0.9587
390.0,2.622,0.9678
395.0,2.555,0.9766
400.0,2.49,0.985
405.0,2.427,0.9932
410.0,2.366,1.001
415.0,2.306,1.009
420.0,2.248,1.016
425.0,2.192,1.023
430.0,2.137,1.03
435.0,2.084,1.037
440.0,2.032,1.043
445.0,1.982,1.0490000000000002
460.0,1.839,1.067
480.0,1.668,1.087
500.0,1.516,1.105
520.0,1.38,1.121
540.0,1.259,1.135
560.0,1.15,1.147
580.0,1.053,1.157
600.0,0.9665,1.167
620.0,0.8884,1.175
640.0,0.8181,1.181
660.0,0.7546,1.187
680.0,0.6971,1.193
700.0,0.6451,1.197
720.0,0.5979,1.2009999999999998
740.0,0.555,1.204
760.0,0.5158,1.206
780.0,0.4801,1.208
800.0,0.4474,1.209
850.0,0.3772,1.211
900.0,0.3204,1.211
950.0,0.2739,1.209
1000.0,0.2356,1.206
1041.0,0.2091,1.202
1050.0,0.2037,1.2009999999999998
1100.0,0.1771,1.196
1150.0,0.1548,1.19
1200.0,0.1359,1.183
1250.0,0.1197,1.176
1253.6,0.1187,1.176
1300.0,0.106,1.169
1350.0,0.09412,1.161
1400.0,0.08388,1.153
1450.0,0.075,1.145
1486.6,0.06925,1.139
1500.0,0.06727999999999999,1.137
