energy,cross_section,asymmetry_parameter
160.0,0.6378,-0.02512
165.0,0.8452,-0.9496
170.0,1.0490000000000002,-0.6766
175.0,1.072,-0.06176
180.0,0.9608,0.4492
185.0,0.8229,0.8168
190.0,0.6932,1.054
195.0,0.5824,1.161
200.0,0.4942,1.132
205.0,0.4283,0.975
210.0,0.3823,0.7139
215.0,0.3528,0.389
220.0,0.3367,0.04703
225.0,0.3311,-0.2698
230.0,0.334,-0.5328
235.0,0.3432,-0.7297
240.0,0.3572,-0.8613
245.0,0.3748,-0.9366
250.0,0.3948,-0.9671
255.0,0.4164,-0.9643
260.0,0.4391,-0.9378
265.0,0.4623,-0.895
270.0,0.4858,-0.8415
275.0,0.5092,-0.7813
280.0,0.5322,-0.7176
285.0,0.5548,-0.6523
290.0,0.5766,-0.5869
295.0,0.5976,-0.5225
300.0,0.6175,-0.4598
305.0,0.6364,-0.3991
310.0,0.6541,-0.3408
315.0,0.6708,-0.2848
320.0,0.6863,-0.2312
325.0,0.7008,-0.18
330.0,0.7142,-0.1309
335.0,0.7267,-0.08406
340.0,0.7382,-0.03923
345.0,0.7488,0.003681
350.0,0.7585,0.04474
355.0,0.7673,0.08403
360.0,0.7753,0.1216
365.0,0.7823,0.1576
370.0,0.7886,0.1921
375.0,0.7941,0.225
380.0,0.7988,0.2566
385.0,0.8028,0.2868
390.0,0.8062,0.3158
395.0,0.8089,0.3435
400.0,0.8111,0.3702
405.0,0.8126,0.3958
410.0,0.8137,0.4204
415.0,0.8144,0.4441
420.0,0.8145,0.4669
425.0,0.8143,0.489
430.0,0.8137,0.5102
435.0,0.8127,0.5307
440.0,0.8113,0.5506
445.0,0.8096,0.5698
450.0,0.8076,0.5883
455.0,0.8052,0.6062
460.0,0.8026,0.6236
480.0,0.7895,0.6875
500.0,0.7732,0.7438
520.0,0.7548,0.7937
540.0,0.735,0.8384
560.0,0.7140000000000001,0.8785
580.0,0.6923,0.9148
600.0,0.6702,0.9475
620.0,0.6482,0.9772
640.0,0.6264,1.004
660.0,0.6048,1.029
680.0,0.5837,1.052
700.0,0.563,1.073
720.0,0.5429,1.092
740.0,0.5234,1.109
760.0,0.5046,1.126
780.0,0.4864,1.141
800.0,0.4688,1.155
850.0,0.4277,1.185
900.0,0.3904,1.211
950.0,0.3568,1.232
1000.0,0.3265,1.25
1041.0,0.3039,1.262
1050.0,0.2992,1.265
1100.0,0.2746,1.277
1150.0,0.2524,1.288
1200.0,0.2323,1.297
1250.0,0.2142,1.304
1253.6,0.213,1.304
1300.0,0.1978,1.31
1350.0,0.183,1.315
1400.0,0.1695,1.319
1450.0,0.1572,1.3219999999999998
1486.6,0.1489,1.3230000000000002
1500.0,0.1461,1.324
