energy,cross_section,asymmetry_parameter
30.0,11.85,1.6909999999999998
35.0,6.385,1.923
40.0,3.65,1.908
40.81,3.3510000000000004,1.895
45.0,2.208,1.786
50.0,1.421,1.58
55.0,0.9736,1.314
60.0,0.7081,1.012
65.0,0.5441,0.7059
70.0,0.4397,0.4262
75.0,0.3716,0.1974
80.0,0.3262,0.032510000000000004
85.0,0.2953,-0.06887
90.0,0.2735,-0.1161
95.0,0.2576,-0.1222
100.0,0.2455,-0.09936
105.0,0.2358,-0.05761
110.0,0.2278,-0.0040880000000000005
115.0,0.221,0.056220000000000006
120.0,0.215,0.1199
125.0,0.2095,0.1847
130.0,0.2045,0.2489
132.3,0.2023,0.278
135.0,0.1998,0.3115
140.0,0.1954,0.3716
145.0,0.1911,0.429
150.0,0.187,0.4832
151.4,0.1859,0.4979
155.0,0.183,0.5344
160.0,0.1792,0.5825
165.0,0.1754,0.6277
170.0,0.1718,0.6703
175.0,0.1682,0.7104
180.0,0.1648,0.7483
185.0,0.1614,0.7842
190.0,0.1581,0.8181
195.0,0.1549,0.8504
200.0,0.1518,0.8809999999999999
205.0,0.1488,0.91
210.0,0.1458,0.9377
215.0,0.1429,0.9639
220.0,0.1401,0.9889
225.0,0.1374,1.013
230.0,0.1347,1.035
235.0,0.1321,1.056
240.0,0.1296,1.077
245.0,0.1271,1.096
250.0,0.1247,1.115
255.0,0.1224,1.132
260.0,0.1202,1.149
265.0,0.118,1.166
270.0,0.1158,1.181
275.0,0.1138,1.196
280.0,0.1117,1.21
285.0,0.1098,1.224
290.0,0.1078,1.237
295.0,0.106,1.25
300.0,0.1041,1.263
305.0,0.1023,1.275
310.0,0.1006,1.286
315.0,0.09891,1.297
320.0,0.09725,1.308
325.0,0.09564,1.318
340.0,0.09102,1.347
360.0,0.08539,1.381
380.0,0.08027000000000001,1.41
400.0,0.07561,1.4369999999999998
420.0,0.07132999999999999,1.461
440.0,0.06741,1.482
460.0,0.06381,1.501
480.0,0.0605,1.518
500.0,0.05744,1.533
520.0,0.05462,1.547
540.0,0.05199,1.56
560.0,0.04955,1.5719999999999998
580.0,0.04728,1.5830000000000002
600.0,0.04517,1.5930000000000002
620.0,0.04319,1.602
640.0,0.04135,1.61
660.0,0.03962,1.618
680.0,0.03799,1.625
700.0,0.03647,1.631
720.0,0.03503,1.6369999999999998
740.0,0.03368,1.643
760.0,0.0324,1.648
780.0,0.0312,1.653
800.0,0.030060000000000007,1.6569999999999998
850.0,0.02747,1.6669999999999998
900.0,0.02519,1.676
950.0,0.02319,1.683
1000.0,0.0214,1.6880000000000002
1041.0,0.02009,1.693
1050.0,0.01982,1.693
1100.0,0.01839,1.6969999999999998
1150.0,0.01712,1.7009999999999998
1200.0,0.01596,1.703
1250.0,0.01492,1.705
1253.6,0.01485,1.705
1300.0,0.013969999999999998,1.707
1350.0,0.01311,1.7080000000000002
1400.0,0.01232,1.709
1450.0,0.0116,1.71
1486.6,0.01111,1.71
1500.0,0.01093,1.71
