energy,cross_section,asymmetry_parameter
520.0,0.1637,2
540.0,0.1506,2
560.0,0.1471,2
580.0,0.1409,2
600.0,0.1349,2
620.0,0.1298,2
640.0,0.1249,2
660.0,0.12,2
680.0,0.1153,2
700.0,0.1109,2
720.0,0.1069,2
740.0,0.103,2
760.0,0.09927,2
780.0,0.09571,2
800.0,0.09234,2
850.0,0.08466,2
900.0,0.07783999999999999,2
950.0,0.07177,2
1000.0,0.06638,2
1041.0,0.06238,2
1050.0,0.06154,2
1100.0,0.05721,2
1150.0,0.05331,2
1200.0,0.04978,2
1250.0,0.04658,2
1253.6,0.046360000000000005,2
1300.0,0.04368,2
1350.0,0.04103,2
1400.0,0.038610000000000005,2
1450.0,0.0364,2
1486.6,0.0349,2
1500.0,0.03437,2
