energy,cross_section,asymmetry_parameter
125.0,0.4744,-0.3878
130.0,0.4819,-0.6035
132.3,0.4812,-0.6325
135.0,0.4788,-0.6458
140.0,0.4723,-0.6371
145.0,0.4661,-0.5978
150.0,0.4618,-0.5331
151.4,0.461,-0.5111
155.0,0.4596,-0.4482
160.0,0.4591,-0.3498
165.0,0.4597,-0.245
170.0,0.4607,-0.1397
175.0,0.4616,-0.03807
180.0,0.4623,0.057470000000000014
185.0,0.4625,0.146
190.0,0.4623,0.2275
195.0,0.4618,0.3024
200.0,0.4608,0.3716
205.0,0.4596,0.4357
210.0,0.458,0.4956
215.0,0.4561,0.5517
220.0,0.454,0.6044
225.0,0.4515,0.6542
230.0,0.4488,0.7011
235.0,0.4457,0.7454
240.0,0.4424,0.7872
245.0,0.4388,0.8265
250.0,0.435,0.8634
255.0,0.431,0.898
260.0,0.4268,0.9305
265.0,0.4225,0.9609
270.0,0.4181,0.9895
275.0,0.4136,1.016
280.0,0.409,1.041
285.0,0.4045,1.065
290.0,0.4,1.088
295.0,0.3954,1.109
300.0,0.3909,1.129
305.0,0.3863,1.148
310.0,0.3818,1.166
315.0,0.3773,1.183
320.0,0.3728,1.2
325.0,0.3683,1.216
330.0,0.3639,1.231
335.0,0.3594,1.246
340.0,0.3549,1.26
345.0,0.3505,1.274
350.0,0.3461,1.287
355.0,0.3417,1.2990000000000002
360.0,0.3373,1.311
365.0,0.333,1.3230000000000002
370.0,0.3287,1.334
375.0,0.3245,1.344
380.0,0.3203,1.355
385.0,0.3161,1.364
390.0,0.3121,1.374
395.0,0.3081,1.383
400.0,0.3041,1.391
405.0,0.3002,1.4
410.0,0.2964,1.408
415.0,0.2927,1.415
420.0,0.289,1.423
440.0,0.2748,1.45
460.0,0.2613,1.474
480.0,0.2486,1.496
500.0,0.2366,1.515
520.0,0.2254,1.5319999999999998
540.0,0.2148,1.547
560.0,0.2049,1.561
580.0,0.1957,1.5730000000000002
600.0,0.187,1.584
620.0,0.1788,1.594
640.0,0.171,1.6030000000000002
660.0,0.1637,1.611
680.0,0.1568,1.619
700.0,0.1504,1.625
720.0,0.1443,1.632
740.0,0.1385,1.6369999999999998
760.0,0.1331,1.642
780.0,0.1279,1.6469999999999998
800.0,0.123,1.651
850.0,0.1119,1.66
900.0,0.1021,1.6669999999999998
950.0,0.09348,1.673
1000.0,0.08585,1.6769999999999998
1041.0,0.08022,1.68
1050.0,0.07906,1.68
1100.0,0.073,1.682
1150.0,0.06757,1.6840000000000002
1200.0,0.0627,1.685
1250.0,0.0583,1.685
1253.6,0.058,1.685
1300.0,0.054320000000000014,1.685
1350.0,0.0507,1.6840000000000002
1400.0,0.04742,1.6840000000000002
1450.0,0.04444,1.682
1486.6,0.04241,1.681
1500.0,0.0417,1.681
