energy,cross_section,asymmetry_parameter
395.0,0.1346,0.09739
400.0,0.1451,-0.2033
405.0,0.1665,-0.171
410.0,0.2267,0.475
415.0,0.3364,1.145
420.0,0.5052,1.516
425.0,0.7282,1.639
430.0,0.9829,1.62
435.0,1.251,1.533
440.0,1.526,1.42
445.0,1.807,1.3
450.0,2.087,1.183
455.0,2.357,1.074
460.0,2.607,0.9755
465.0,2.834,0.8878
470.0,3.039,0.8105
475.0,3.224,0.7426
480.0,3.39,0.6832
485.0,3.537,0.6313
490.0,3.666,0.5859
495.0,3.776,0.5464
500.0,3.868,0.512
505.0,3.943,0.4822
510.0,4.005,0.4566
515.0,4.056,0.4346
520.0,4.097,0.4159
525.0,4.13,0.4001
530.0,4.1560000000000015,0.3868
535.0,4.175,0.3757
540.0,4.188,0.3666
545.0,4.195,0.3592
550.0,4.1960000000000015,0.3533
555.0,4.1930000000000005,0.3489
560.0,4.185,0.3456
565.0,4.174,0.3435
570.0,4.16,0.3423
575.0,4.144,0.342
580.0,4.126,0.3425
585.0,4.107,0.3437
590.0,4.086,0.3455
595.0,4.063,0.3479
600.0,4.039,0.3507
605.0,4.013,0.3539
610.0,3.986,0.3575
615.0,3.958,0.3615
620.0,3.928,0.3657
625.0,3.898,0.3703
630.0,3.867,0.375
635.0,3.836,0.38
640.0,3.804,0.3851
645.0,3.771,0.3904
650.0,3.739,0.3959
655.0,3.706,0.4015
660.0,3.673,0.4072
665.0,3.639,0.4129
670.0,3.606,0.4188
675.0,3.572,0.4247
680.0,3.5380000000000003,0.4306
685.0,3.504,0.4366
700.0,3.4,0.4546
720.0,3.262,0.4786
740.0,3.1260000000000003,0.5025
760.0,2.9930000000000003,0.5259
780.0,2.862,0.5486
800.0,2.735,0.5705
850.0,2.438,0.622
900.0,2.171,0.6684
950.0,1.933,0.7099
1000.0,1.723,0.7471
1041.0,1.57,0.7745
1050.0,1.538,0.7802
1100.0,1.376,0.8099
1150.0,1.233,0.8364
1200.0,1.108,0.86
1250.0,0.997,0.8812
1253.6,0.9896,0.8827
1300.0,0.8996,0.9002
1350.0,0.8135,0.9172
1400.0,0.7371,0.9325
1450.0,0.6695,0.9462
1486.6,0.6248,0.9553
1500.0,0.6093,0.9584
