energy,cross_section,asymmetry_parameter
35.0,2.602,1.866
40.0,1.521,1.742
40.8,1.405,1.712
45.0,0.957,1.515
50.0,0.6543,1.217
55.0,0.4821,0.8895
60.0,0.3793,0.5734
65.0,0.3155,0.305
70.0,0.2749,0.1051
75.0,0.2481,-0.02353
80.0,0.2296,-0.09153
85.0,0.2162,-0.1143
90.0,0.2059,-0.106
95.0,0.1975,-0.07724
100.0,0.1904,-0.03534
105.0,0.1841,0.0147
110.0,0.1785,0.06932
115.0,0.1734,0.126
120.0,0.1687,0.1828
125.0,0.1642,0.2385
130.0,0.16,0.2921
132.3,0.1581,0.316
135.0,0.1559,0.3433
140.0,0.152,0.3919
145.0,0.1483,0.4379
150.0,0.1446,0.4815
151.4,0.1436,0.4933
155.0,0.1411,0.5229
160.0,0.1377,0.5624
165.0,0.1344,0.6
170.0,0.1312,0.6358
175.0,0.1281,0.67
180.0,0.1251,0.7026
185.0,0.1222,0.7337
190.0,0.1194,0.7632
195.0,0.1167,0.7912
200.0,0.114,0.8178
205.0,0.1115,0.8431
210.0,0.109,0.8671
215.0,0.1066,0.8901
220.0,0.1043,0.912
225.0,0.1021,0.933
230.0,0.09997,0.9531
235.0,0.09788,0.9725
240.0,0.09586,0.9911
245.0,0.0939,1.009
250.0,0.092,1.026
255.0,0.09015,1.043
260.0,0.08836000000000001,1.0590000000000002
265.0,0.08662,1.074
270.0,0.08492999999999999,1.089
275.0,0.08329,1.104
280.0,0.0817,1.118
285.0,0.08016000000000001,1.131
290.0,0.07866000000000001,1.144
295.0,0.07721,1.156
300.0,0.0758,1.168
305.0,0.07443,1.179
310.0,0.07309,1.1909999999999998
315.0,0.0718,1.2009999999999998
320.0,0.07053999999999999,1.212
325.0,0.06931,1.222
340.0,0.06583,1.251
360.0,0.06158,1.286
380.0,0.05775,1.317
400.0,0.05429,1.345
420.0,0.05114,1.37
440.0,0.04827,1.393
460.0,0.04564,1.414
480.0,0.043230000000000005,1.4340000000000002
500.0,0.041,1.4509999999999998
520.0,0.03896,1.467
540.0,0.03707,1.482
560.0,0.03531,1.496
580.0,0.03368,1.509
600.0,0.03216,1.521
620.0,0.03075,1.5319999999999998
640.0,0.02943,1.5419999999999998
660.0,0.02819,1.5519999999999998
680.0,0.02703,1.561
700.0,0.02594,1.57
720.0,0.02492,1.578
740.0,0.02396,1.585
760.0,0.02305,1.592
780.0,0.0222,1.599
800.0,0.02139,1.605
850.0,0.01955,1.619
900.0,0.01795,1.632
950.0,0.01653,1.643
1000.0,0.015280000000000004,1.652
1041.0,0.01435,1.659
1050.0,0.01416,1.661
1100.0,0.01317,1.668
1150.0,0.01227,1.6740000000000002
1200.0,0.01147,1.68
1250.0,0.01074,1.685
1253.6,0.01069,1.686
1300.0,0.01008,1.69
1350.0,0.009482,1.694
1400.0,0.008933,1.6980000000000002
1450.0,0.008433,1.7009999999999998
1486.6,0.008092,1.703
1500.0,0.007972,1.704
