energy,cross_section,asymmetry_parameter
10.0,1.849,2
10.2,1.7819999999999998,2
15.0,0.9022,2
16.7,0.7552,2
20.0,0.5666,2
21.2,0.5176,2
25.0,0.4022,2
26.8,0.3618,2
30.0,0.3043,2
35.0,0.2389,2
40.0,0.1923,2
40.8,0.1861,2
45.0,0.1579,2
50.0,0.132,2
55.0,0.1121,2
60.0,0.09651,2
65.0,0.08411,2
70.0,0.07407000000000001,2
75.0,0.06582,2
80.0,0.05896000000000001,2
85.0,0.05318,2
90.0,0.04828,2
95.0,0.0441,2
100.0,0.04049,2
105.0,0.03737,2
110.0,0.03464,2
115.0,0.03224,2
120.0,0.0301,2
125.0,0.02819,2
130.0,0.02646,2
132.3,0.02572,2
135.0,0.02489,2
140.0,0.02346,2
145.0,0.02214,2
150.0,0.02093,2
151.4,0.02061,2
155.0,0.01981,2
160.0,0.01877,2
165.0,0.01781,2
170.0,0.016919999999999998,2
175.0,0.0161,2
180.0,0.015330000000000003,2
185.0,0.01462,2
190.0,0.01396,2
195.0,0.01334,2
200.0,0.01277,2
205.0,0.01223,2
210.0,0.01172,2
215.0,0.01125,2
220.0,0.01081,2
225.0,0.0104,2
230.0,0.01001,2
235.0,0.00964,2
240.0,0.009296,2
245.0,0.008971999999999999,2
250.0,0.008666,2
255.0,0.008378,2
260.0,0.008105,2
265.0,0.007847,2
270.0,0.007603,2
275.0,0.007370999999999998,2
280.0,0.00715,2
285.0,0.006939,2
290.0,0.006737999999999999,2
295.0,0.006546,2
300.0,0.006362,2
320.0,0.0057,2
340.0,0.005135,2
360.0,0.004652,2
380.0,0.004235,2
400.0,0.003874,2
420.0,0.00356,2
440.0,0.003286,2
460.0,0.0030440000000000003,2
480.0,0.002831,2
500.0,0.00264,2
520.0,0.0024690000000000003,2
540.0,0.002313,2
560.0,0.002172,2
580.0,0.002043,2
600.0,0.001925,2
620.0,0.001818,2
640.0,0.001719,2
660.0,0.001629,2
680.0,0.001546,2
700.0,0.00147,2
720.0,0.001399,2
740.0,0.001334,2
760.0,0.001273,2
780.0,0.001217,2
800.0,0.001164,2
850.0,0.001045,2
900.0,0.0009439,2
950.0,0.0008569,2
1000.0,0.000782,2
1041.0,0.0007279,2
1050.0,0.0007167,2
1100.0,0.0006594999999999999,2
1150.0,0.0006087999999999999,2
1200.0,0.0005637000000000001,2
1250.0,0.0005236,2
1253.6,0.0005208999999999999,2
1300.0,0.0004877,2
1350.0,0.0004556,2
1400.0,0.0004266,2
1450.0,0.0004004,2
1486.6,0.0003827,2
1500.0,0.0003765,2
