energy,cross_section,asymmetry_parameter
25.0,11.42,2.0
30.0,15.79,0.1276
35.0,36.59,0.07241
40.0,51.71,0.256
40.81,52.26,0.2885
45.0,48.52,0.4526
50.0,38.53,0.6323
55.0,29.22,0.7948
60.0,21.87,0.9432
65.0,16.31,1.08
70.0,12.18,1.206
75.0,9.136,1.3230000000000002
80.0,6.9129999999999985,1.432
85.0,5.283,1.5319999999999998
90.0,4.08,1.624
95.0,3.182,1.7080000000000002
100.0,2.504,1.784
105.0,1.985,1.85
110.0,1.586,1.907
115.0,1.275,1.951
120.0,1.031,1.981
125.0,0.8395,1.994
130.0,0.6882,1.987
132.3,0.6296,1.977
135.0,0.5684,1.959
140.0,0.4734,1.905
145.0,0.398,1.824
150.0,0.3382,1.714
151.4,0.3237,1.6780000000000002
155.0,0.2906,1.5759999999999998
160.0,0.253,1.412
165.0,0.2232,1.226
170.0,0.1997,1.022
175.0,0.1813,0.8104
180.0,0.16699999999999998,0.5977
185.0,0.1561,0.3928
190.0,0.1477,0.2028
195.0,0.1416,0.033319999999999995
200.0,0.1371,-0.1123
205.0,0.134,-0.2325
210.0,0.1321,-0.3276
215.0,0.131,-0.3992
220.0,0.1305,-0.4497
225.0,0.1306,-0.4819
230.0,0.1311,-0.4984
235.0,0.1319,-0.5022
240.0,0.133,-0.4954
245.0,0.1342,-0.4804
250.0,0.1355,-0.4588
255.0,0.1368,-0.4323
260.0,0.1382,-0.4019
265.0,0.1396,-0.3688
270.0,0.141,-0.3338
275.0,0.1424,-0.2976
280.0,0.1437,-0.2606
285.0,0.1449,-0.2232
290.0,0.1461,-0.1859
295.0,0.1472,-0.1489
300.0,0.1482,-0.1123
305.0,0.1492,-0.07633
310.0,0.15,-0.04112
315.0,0.1508,-0.006737999999999999
320.0,0.1515,0.02678
340.0,0.1534,0.1516
360.0,0.1541,0.2619
380.0,0.1538,0.3592
400.0,0.1527,0.4454
420.0,0.1509,0.5219
440.0,0.1486,0.59
460.0,0.1459,0.6508
480.0,0.1428,0.7053
500.0,0.1395,0.7542
520.0,0.1361,0.7985
540.0,0.1326,0.8387
560.0,0.1291,0.8754
580.0,0.1255,0.909
600.0,0.1219,0.9397
620.0,0.1184,0.968
640.0,0.1149,0.9941
660.0,0.1115,1.018
680.0,0.1082,1.04
700.0,0.1049,1.061
720.0,0.1017,1.08
740.0,0.09866,1.098
760.0,0.09568,1.115
780.0,0.09278,1.13
800.0,0.08997999999999999,1.145
850.0,0.08337,1.177
900.0,0.07731,1.204
950.0,0.07177,1.228
1000.0,0.0667,1.248
1041.0,0.06287000000000001,1.263
1050.0,0.062070000000000014,1.266
1100.0,0.05784,1.281
1150.0,0.05396,1.295
1200.0,0.05042,1.306
1250.0,0.04717,1.3159999999999998
1253.6,0.04694,1.317
1300.0,0.04418,1.325
1350.0,0.04143,1.332
1400.0,0.0389,1.339
1450.0,0.03657,1.344
1486.6,0.03497,1.348
1500.0,0.03442,1.349
