energy,cross_section,asymmetry_parameter
80.0,0.8989,1.335
85.0,0.8367,1.78
90.0,0.6968,1.588
95.0,0.5772,1.277
100.0,0.488,0.9565
105.0,0.4227,0.6612
110.0,0.3748,0.4048
115.0,0.3396,0.1935
120.0,0.3137,0.02975
125.0,0.2949,-0.08667000000000001
130.0,0.2813,-0.1593
132.3,0.2765,-0.1797
135.0,0.2717,-0.1943
140.0,0.2649,-0.1992
145.0,0.26,-0.1816
150.0,0.2565,-0.1484
151.4,0.2556,-0.13699999999999998
155.0,0.2538,-0.1048
160.0,0.2517,-0.05495
165.0,0.25,-0.001734
170.0,0.2484,0.052979999999999985
175.0,0.2469,0.108
180.0,0.2455,0.1624
185.0,0.244,0.2158
190.0,0.2425,0.2679
195.0,0.2409,0.3184
200.0,0.2392,0.3671
205.0,0.2375,0.414
210.0,0.2357,0.459
215.0,0.2339,0.5019
220.0,0.2319,0.5429
225.0,0.2299,0.5819
230.0,0.2278,0.6189
235.0,0.2256,0.654
240.0,0.2235,0.6873
245.0,0.2212,0.7190000000000001
250.0,0.219,0.7490000000000001
255.0,0.2167,0.7774
260.0,0.2144,0.8046
265.0,0.212,0.8304
270.0,0.2097,0.8551
275.0,0.2073,0.8786
280.0,0.205,0.9012
285.0,0.2027,0.9228
290.0,0.2003,0.9436
295.0,0.198,0.9636
300.0,0.1957,0.9828
305.0,0.1933,1.001
310.0,0.191,1.019
315.0,0.1887,1.036
320.0,0.1864,1.053
325.0,0.1842,1.069
330.0,0.1819,1.084
335.0,0.1797,1.099
340.0,0.1775,1.113
345.0,0.1753,1.127
350.0,0.1731,1.14
355.0,0.171,1.153
360.0,0.1689,1.165
365.0,0.1668,1.177
370.0,0.1647,1.189
375.0,0.1627,1.2
380.0,0.1607,1.21
400.0,0.153,1.25
420.0,0.1457,1.285
440.0,0.1389,1.317
460.0,0.1325,1.345
480.0,0.1264,1.371
500.0,0.1207,1.394
520.0,0.1154,1.415
540.0,0.1104,1.435
560.0,0.1057,1.452
580.0,0.1012,1.4680000000000002
600.0,0.09708,1.483
620.0,0.09316,1.497
640.0,0.08946,1.51
660.0,0.08597,1.5219999999999998
680.0,0.08269,1.533
700.0,0.07958,1.543
720.0,0.07665,1.5530000000000002
740.0,0.07387,1.561
760.0,0.07124,1.57
780.0,0.06875,1.578
800.0,0.06638,1.585
850.0,0.06097,1.602
900.0,0.0562,1.616
950.0,0.05197,1.628
1000.0,0.04819,1.639
1041.0,0.0454,1.646
1050.0,0.04482,1.648
1100.0,0.04179,1.656
1150.0,0.03905,1.663
1200.0,0.03658,1.67
1250.0,0.03434,1.675
1253.6,0.03418,1.676
1300.0,0.03229,1.68
1350.0,0.03042,1.6840000000000002
1400.0,0.028710000000000006,1.6880000000000002
1450.0,0.02715,1.6909999999999998
1486.6,0.02607,1.694
1500.0,0.0257,1.694
