energy,cross_section,asymmetry_parameter
20.0,0.9441,1.082
21.22,0.934,1.294
25.0,1.006,1.705
26.86,1.092,1.771
30.0,1.304,1.735
35.0,1.78,1.493
40.0,2.355,1.226
40.81,2.452,1.187
45.0,2.959,1.008
50.0,3.553,0.8438
55.0,4.124,0.7207
60.0,4.665,0.6273
65.0,5.166,0.5555
70.0,5.612,0.4994
75.0,5.994,0.4553
80.0,6.308,0.4206
85.0,6.56,0.3935
90.0,6.757999999999999,0.3725
95.0,6.9129999999999985,0.3566
100.0,7.0360000000000005,0.3448
105.0,7.131,0.3364
110.0,7.202000000000001,0.3308
115.0,7.251,0.3275
120.0,7.278,0.3262
125.0,7.286,0.3264
130.0,7.276,0.328
132.3,7.265,0.3291
135.0,7.247999999999998,0.3307
140.0,7.207000000000002,0.3344
145.0,7.154,0.339
150.0,7.0920000000000005,0.3443
151.4,7.073,0.3459
155.0,7.022,0.3502
160.0,6.945,0.3567
165.0,6.862,0.3636
170.0,6.774,0.3709
175.0,6.681,0.3785
180.0,6.584,0.3864
185.0,6.483,0.3944
190.0,6.377999999999999,0.4026
195.0,6.271,0.411
200.0,6.16,0.4194
205.0,6.047999999999999,0.4279
210.0,5.936,0.4365
215.0,5.822,0.4452
220.0,5.707999999999998,0.4538
225.0,5.595,0.4625
230.0,5.482,0.4712
235.0,5.369,0.4799
240.0,5.257999999999999,0.4885
245.0,5.147,0.4971
250.0,5.037,0.5057
255.0,4.9289999999999985,0.5142
260.0,4.8210000000000015,0.5227
265.0,4.715,0.5311
270.0,4.61,0.5394
275.0,4.506,0.5476
280.0,4.404,0.5557
285.0,4.303,0.5638
290.0,4.205,0.5717
295.0,4.1080000000000005,0.5796
300.0,4.012,0.5874
305.0,3.919,0.595
310.0,3.828,0.6026
315.0,3.738,0.6101
320.0,3.651,0.6175
340.0,3.319,0.6462
360.0,3.017,0.6733
380.0,2.741,0.6988
400.0,2.492,0.7229
420.0,2.267,0.7455
440.0,2.064,0.7667
460.0,1.881,0.7867
480.0,1.716,0.8054
500.0,1.568,0.823
520.0,1.4340000000000002,0.8395
540.0,1.3130000000000002,0.8549
560.0,1.205,0.8694
580.0,1.106,0.8829
600.0,1.017,0.8956
620.0,0.937,0.9075
640.0,0.8641,0.9187
660.0,0.7979999999999999,0.9291
680.0,0.7378,0.9388
700.0,0.6831,0.9479
720.0,0.6332,0.9564
740.0,0.5877,0.9644
760.0,0.5461,0.9718
780.0,0.5081,0.9787
800.0,0.4733,0.9852
850.0,0.3982,0.9994
900.0,0.3372,1.011
950.0,0.2873,1.021
1000.0,0.2462,1.029
1041.0,0.2177,1.034
1050.0,0.212,1.035
1100.0,0.1836,1.04
1150.0,0.1597,1.044
1200.0,0.1395,1.047
1250.0,0.1224,1.0490000000000002
1253.6,0.1213,1.0490000000000002
1300.0,0.1078,1.05
1350.0,0.09531,1.05
1400.0,0.08455,1.05
1450.0,0.07524,1.0490000000000002
1486.6,0.06923,1.048
1500.0,0.06717000000000001,1.048
