energy,cross_section,asymmetry_parameter
115.0,1.238,-0.3346
120.0,2.857,-0.7359
125.0,3.663,0.09611
130.0,3.327,0.6792
132.3,3.116,0.8737
135.0,2.873,1.064
140.0,2.452,1.339
145.0,2.072,1.541
150.0,1.74,1.6869999999999998
151.4,1.656,1.719
155.0,1.462,1.785
160.0,1.235,1.842
165.0,1.052,1.863
170.0,0.9037,1.849
175.0,0.7829,1.803
180.0,0.684,1.725
185.0,0.6027,1.617
190.0,0.5359,1.482
195.0,0.4812,1.324
200.0,0.4364,1.149
205.0,0.3998,0.9617
210.0,0.3702,0.7688
215.0,0.3463,0.5759
220.0,0.3272,0.3889
225.0,0.3121,0.2127
230.0,0.3002,0.05106
235.0,0.29100000000000004,-0.09318
240.0,0.284,-0.2185
245.0,0.2788,-0.3246
250.0,0.275,-0.4119
255.0,0.2724,-0.4814
260.0,0.2708,-0.5346
265.0,0.2699,-0.5733
270.0,0.2697,-0.599
275.0,0.2701,-0.6135
280.0,0.2708,-0.6184
285.0,0.2719,-0.615
290.0,0.2732,-0.6049
295.0,0.2746,-0.5892
300.0,0.2762,-0.569
305.0,0.2779,-0.5452
310.0,0.2796,-0.5186
315.0,0.2813,-0.4898
320.0,0.2829,-0.4595
325.0,0.2845,-0.4281
330.0,0.2861,-0.3958
335.0,0.2875,-0.3631
340.0,0.2889,-0.3301
345.0,0.2902,-0.297
350.0,0.2914,-0.264
355.0,0.2925,-0.2312
360.0,0.2935,-0.1987
365.0,0.2944,-0.1666
370.0,0.2952,-0.1351
375.0,0.2959,-0.1041
380.0,0.2964,-0.07371
385.0,0.2969,-0.04397
390.0,0.2973,-0.01491
395.0,0.2975,0.01347
400.0,0.2977,0.04116
405.0,0.2978,0.06816
410.0,0.2978,0.09449
420.0,0.2975,0.1452
440.0,0.2959,0.2393
460.0,0.2933,0.3243
480.0,0.2898,0.4011
500.0,0.2856,0.4703
520.0,0.2807,0.5329999999999999
540.0,0.2755,0.5899
560.0,0.27,0.642
580.0,0.2641,0.6896
600.0,0.2582,0.7332
620.0,0.2521,0.7731
640.0,0.246,0.8099
660.0,0.24,0.8440000000000001
680.0,0.2339,0.8756
700.0,0.2279,0.9048
720.0,0.222,0.932
740.0,0.2162,0.9573
760.0,0.2105,0.9809
780.0,0.2049,1.003
800.0,0.1995,1.024
850.0,0.1865,1.07
900.0,0.1743,1.109
950.0,0.1631,1.144
1000.0,0.1526,1.173
1041.0,0.1447,1.195
1050.0,0.14300000000000002,1.199
1100.0,0.1341,1.222
1150.0,0.1259,1.242
1200.0,0.1183,1.259
1250.0,0.1112,1.275
1253.6,0.1108,1.276
1300.0,0.1048,1.289
1350.0,0.09876,1.301
1400.0,0.09319,1.3119999999999998
1450.0,0.08802,1.321
1486.6,0.08449,1.328
1500.0,0.08324,1.33
