energy,cross_section,asymmetry_parameter
20.0,0.4675,1.7819999999999998
21.22,0.5599,1.946
25.0,1.092,1.724
26.86,1.5119999999999998,1.492
30.0,2.4330000000000003,1.15
35.0,4.154,0.7951
40.0,5.782,0.6001
40.81,6.022,0.578
45.0,7.13,0.4913
50.0,8.072000000000001,0.43
55.0,8.48,0.3974
60.0,8.373,0.3838
65.0,7.912000000000001,0.3838
70.0,7.263,0.3942
75.0,6.53,0.4128
80.0,5.7639999999999985,0.4378
85.0,5.001,0.4681
90.0,4.272,0.5027
95.0,3.6010000000000004,0.5412
100.0,3.004,0.5834
105.0,2.484,0.6291
110.0,2.04,0.6786
115.0,1.663,0.732
120.0,1.347,0.7896
125.0,1.084,0.8518
130.0,0.867,0.9188
132.3,0.7805,0.9514
135.0,0.6888,0.9911
140.0,0.5437,1.069
145.0,0.4264,1.153
150.0,0.3322,1.244
151.4,0.3093,1.271
155.0,0.2568,1.342
160.0,0.1971,1.445
165.0,0.15,1.554
170.0,0.1132,1.662
175.0,0.08485,1.7619999999999998
180.0,0.06335,1.838
185.0,0.04739,1.86
190.0,0.0359,1.786
195.0,0.028010000000000004,1.5659999999999998
200.0,0.02299,1.169
205.0,0.02026,0.6293
210.0,0.01932,0.05689
215.0,0.0198,-0.4238
220.0,0.02136,-0.7493
225.0,0.02375,-0.9263
230.0,0.026760000000000003,-0.9937
235.0,0.03021,-0.992
240.0,0.033960000000000004,-0.9511
245.0,0.03791,-0.8901
250.0,0.04195,-0.8202
255.0,0.04602,-0.748
260.0,0.05007,-0.6769
265.0,0.05405,-0.6085
270.0,0.05792000000000001,-0.5438
275.0,0.06166,-0.483
280.0,0.06526,-0.426
285.0,0.06869,-0.3727
290.0,0.07196,-0.3229
295.0,0.07504,-0.2762
300.0,0.07794,-0.2325
305.0,0.08066,-0.1915
310.0,0.0832,-0.1529
315.0,0.08555,-0.1165
320.0,0.08772999999999999,-0.08221
340.0,0.09477,0.038
360.0,0.09945,0.1371
380.0,0.1022,0.2208
400.0,0.1033,0.2928
420.0,0.1032,0.3556
440.0,0.1022,0.4111
460.0,0.1004,0.4606
480.0,0.09811,0.5051
500.0,0.09542,0.5455
520.0,0.09246,0.5822
540.0,0.08932999999999999,0.6158
560.0,0.08611,0.6466
580.0,0.08286,0.6751
600.0,0.0796,0.7014
620.0,0.07637999999999999,0.7258
640.0,0.07322000000000001,0.7484
660.0,0.07015,0.7695
680.0,0.06717000000000001,0.7892
700.0,0.06429,0.8076
720.0,0.06152000000000001,0.8248
740.0,0.05885,0.841
760.0,0.0563,0.8561
780.0,0.05385,0.8703
800.0,0.05152,0.8836
850.0,0.04614,0.9137
900.0,0.04137,0.9396
950.0,0.03715,0.9621
1000.0,0.03343,0.9815
1041.0,0.0307,0.9956
1050.0,0.03014,0.9985
1100.0,0.02723,1.013
1150.0,0.02466,1.026
1200.0,0.02237,1.037
1250.0,0.02034,1.047
1253.6,0.0202,1.048
1300.0,0.01853,1.056
1350.0,0.016909999999999998,1.063
1400.0,0.01547,1.069
1450.0,0.014180000000000003,1.075
1486.6,0.01331,1.078
1500.0,0.01302,1.079
