energy,cross_section,asymmetry_parameter
10.0,1.918,2
10.2,1.846,2
15.0,0.9018,2
16.7,0.747,2
20.0,0.5507,2
21.2,0.5003,2
25.0,0.3831,2
26.8,0.3426,2
30.0,0.2858,2
35.0,0.2222,2
40.0,0.1778,2
40.8,0.1719,2
45.0,0.1454,2
50.0,0.1212,2
55.0,0.1026,2
60.0,0.08824,2
65.0,0.07682,2
70.0,0.0676,2
75.0,0.06005,2
80.0,0.053770000000000005,2
85.0,0.048510000000000005,2
90.0,0.04404,2
95.0,0.04022,2
100.0,0.03694,2
105.0,0.034089999999999995,2
110.0,0.0316,2
115.0,0.0294,2
120.0,0.02745,2
125.0,0.025710000000000004,2
130.0,0.02413,2
132.3,0.02346,2
135.0,0.0227,2
140.0,0.0214,2
145.0,0.0202,2
150.0,0.0191,2
151.4,0.0188,2
155.0,0.01808,2
160.0,0.017130000000000003,2
165.0,0.01626,2
170.0,0.01545,2
175.0,0.0147,2
180.0,0.01401,2
185.0,0.01336,2
190.0,0.01275,2
195.0,0.01219,2
200.0,0.01167,2
205.0,0.01118,2
210.0,0.01072,2
215.0,0.01029,2
220.0,0.009888,2
225.0,0.00951,2
230.0,0.009155,2
235.0,0.008822,2
240.0,0.008508,2
245.0,0.008213,2
250.0,0.007934,2
255.0,0.007670999999999998,2
260.0,0.007423000000000002,2
265.0,0.0071870000000000015,2
270.0,0.006964,2
275.0,0.006753,2
280.0,0.006551,2
285.0,0.006359,2
290.0,0.006176,2
295.0,0.006002,2
300.0,0.005834000000000001,2
320.0,0.005232,2
340.0,0.004718,2
360.0,0.004278,2
380.0,0.003897,2
400.0,0.003568,2
420.0,0.003281,2
440.0,0.003029,2
460.0,0.002808,2
480.0,0.002612,2
500.0,0.002437,2
520.0,0.002279,2
540.0,0.002137,2
560.0,0.002007,2
580.0,0.001889,2
600.0,0.0017809999999999996,2
620.0,0.001682,2
640.0,0.001591,2
660.0,0.001508,2
680.0,0.001432,2
700.0,0.001361,2
720.0,0.001296,2
740.0,0.001236,2
760.0,0.00118,2
780.0,0.001128,2
800.0,0.001079,2
850.0,0.0009695,2
900.0,0.0008761000000000001,2
950.0,0.0007957999999999999,2
1000.0,0.0007264,2
1041.0,0.0006763,2
1050.0,0.000666,2
1100.0,0.0006131,2
1150.0,0.0005661,2
1200.0,0.0005244,2
1250.0,0.0004871,2
1253.6,0.0004846,2
1300.0,0.0004538,2
1350.0,0.0004239,2
1400.0,0.000397,2
1450.0,0.0003727,2
1486.6,0.0003562,2
1500.0,0.0003505,2
