energy,cross_section,asymmetry_parameter
530.0,1.476,0.4876
535.0,1.686,0.5456
540.0,1.763,0.6185
545.0,1.7519999999999998,0.6823
550.0,1.712,0.7373
555.0,1.669,0.7856
560.0,1.632,0.8288
565.0,1.601,0.8681
570.0,1.574,0.9044
575.0,1.5490000000000002,0.938
580.0,1.523,0.9692
585.0,1.496,0.9982
590.0,1.4680000000000002,1.025
595.0,1.439,1.05
600.0,1.41,1.073
605.0,1.381,1.094
610.0,1.3530000000000002,1.114
615.0,1.3259999999999998,1.133
620.0,1.3,1.15
625.0,1.276,1.166
630.0,1.252,1.18
635.0,1.229,1.194
640.0,1.207,1.208
645.0,1.186,1.22
650.0,1.165,1.232
655.0,1.145,1.243
660.0,1.125,1.253
665.0,1.105,1.263
670.0,1.085,1.272
675.0,1.0659999999999998,1.281
680.0,1.047,1.29
685.0,1.029,1.298
690.0,1.011,1.306
695.0,0.9932,1.3130000000000002
700.0,0.9761,1.32
705.0,0.9594,1.327
710.0,0.9431,1.3330000000000002
715.0,0.9273,1.339
720.0,0.9119,1.345
725.0,0.8968,1.35
730.0,0.8821,1.355
735.0,0.8677,1.36
740.0,0.8536,1.365
745.0,0.8398,1.369
750.0,0.8262,1.374
755.0,0.8129,1.378
760.0,0.7998,1.382
765.0,0.787,1.386
770.0,0.7744,1.389
775.0,0.762,1.393
780.0,0.7498,1.396
785.0,0.7379,1.399
790.0,0.7262,1.402
795.0,0.7148,1.405
800.0,0.7035,1.408
805.0,0.6925,1.411
810.0,0.6818,1.413
815.0,0.6712,1.416
820.0,0.6609,1.418
825.0,0.6508,1.42
850.0,0.6033,1.43
900.0,0.5205,1.444
950.0,0.4515,1.453
1000.0,0.394,1.4580000000000002
1041.0,0.3536,1.459
1050.0,0.3455,1.459
1100.0,0.3044,1.459
1150.0,0.2694,1.457
1200.0,0.2395,1.453
1250.0,0.2137,1.449
1253.6,0.212,1.4480000000000002
1300.0,0.1914,1.443
1350.0,0.1721,1.4369999999999998
1400.0,0.1552,1.43
1450.0,0.1404,1.423
1486.6,0.1307,1.418
1500.0,0.1274,1.416
