energy,cross_section,asymmetry_parameter
260.0,0.3715,0.02742
265.0,0.3407,-0.1336
270.0,0.3233,-0.1648
275.0,0.3084,0.01146
280.0,0.2958,0.165
285.0,0.287,0.1967
290.0,0.2821,0.1217
295.0,0.2808,-0.02509
300.0,0.2827,-0.2072
305.0,0.2875,-0.3935
310.0,0.2946,-0.5628
315.0,0.3036,-0.7041
320.0,0.3143,-0.8141
325.0,0.3264,-0.8936
330.0,0.3398,-0.946
335.0,0.3542,-0.975
340.0,0.3694,-0.9846
345.0,0.3851,-0.9786
350.0,0.4011,-0.9603
355.0,0.4171,-0.9326
360.0,0.4329,-0.898
365.0,0.4484,-0.8584
370.0,0.4634,-0.8152
375.0,0.4781,-0.7698
380.0,0.4922,-0.7229
385.0,0.5059,-0.6753
390.0,0.5192,-0.6274
395.0,0.532,-0.5797
400.0,0.5444,-0.5324
405.0,0.5563,-0.4858
410.0,0.5677,-0.44
415.0,0.5786,-0.3953
420.0,0.5891,-0.3517
425.0,0.5989,-0.3092
430.0,0.6083,-0.2681
435.0,0.617,-0.2282
440.0,0.6252,-0.1895
445.0,0.6329,-0.1522
450.0,0.64,-0.1161
455.0,0.6466,-0.08123999999999999
460.0,0.6527,-0.04754
465.0,0.6584,-0.01496
470.0,0.6636,0.01654
475.0,0.6684,0.04703
480.0,0.6728,0.07655
485.0,0.6769,0.1051
490.0,0.6806,0.1328
495.0,0.6839,0.1597
500.0,0.6869,0.1857
505.0,0.6896,0.211
510.0,0.6920000000000001,0.2355
515.0,0.6940000000000001,0.2592
520.0,0.6958,0.2822
525.0,0.6972,0.3046
530.0,0.6984,0.3262
535.0,0.6992,0.3473
540.0,0.6998,0.3677
545.0,0.7002,0.3875
550.0,0.7003,0.4067
555.0,0.7001,0.4253
560.0,0.6998,0.4434
580.0,0.6965,0.5108
600.0,0.6908,0.5713
620.0,0.6829,0.6259
640.0,0.6734,0.6754
660.0,0.6624,0.7204
680.0,0.6503,0.7614
700.0,0.6373,0.7988
720.0,0.6239,0.8331
740.0,0.61,0.8647
760.0,0.5958,0.8938
780.0,0.5815,0.9207
800.0,0.5672,0.9457
850.0,0.5315,1.001
900.0,0.4969,1.047
950.0,0.464,1.086
1000.0,0.4329,1.119
1041.0,0.409,1.142
1050.0,0.4039,1.147
1100.0,0.3768,1.172
1150.0,0.3517,1.193
1200.0,0.3284,1.212
1250.0,0.3069,1.228
1253.6,0.3054,1.229
1300.0,0.287,1.242
1350.0,0.2686,1.254
1400.0,0.2516,1.265
1450.0,0.2359,1.274
1486.6,0.2252,1.28
1500.0,0.2214,1.2819999999999998
