energy,cross_section,asymmetry_parameter
420.0,0.3558,-0.6154
440.0,0.3655,-0.1865
460.0,0.3587,0.1152
480.0,0.3542,0.3522
500.0,0.3472,0.5288
520.0,0.3402,0.6639
540.0,0.3335,0.7754
560.0,0.3262,0.8695
580.0,0.3186,0.9483
600.0,0.3109,1.014
620.0,0.3034,1.071
640.0,0.29600000000000004,1.122
660.0,0.2885,1.166
680.0,0.281,1.206
700.0,0.2737,1.241
720.0,0.2665,1.272
740.0,0.2596,1.3
760.0,0.2528,1.325
780.0,0.2462,1.349
800.0,0.2397,1.37
850.0,0.2243,1.416
900.0,0.2101,1.453
950.0,0.197,1.484
1000.0,0.1849,1.511
1041.0,0.1756,1.529
1050.0,0.1737,1.533
1100.0,0.1634,1.5519999999999998
1150.0,0.1539,1.568
1200.0,0.1452,1.582
1250.0,0.1371,1.594
1253.6,0.1365,1.595
1300.0,0.1296,1.605
1350.0,0.1227,1.615
1400.0,0.1163,1.6230000000000002
1450.0,0.1103,1.63
1486.6,0.1062,1.635
1500.0,0.1048,1.6369999999999998
