energy,cross_section,asymmetry_parameter
695.0,0.1182,-0.07645
700.0,3.109,0.8501
705.0,18.96,0.9289
710.0,6.4510000000000005,0.8690000000000001
715.0,4.705,0.7718
720.0,4.185,0.6782
725.0,3.856,0.6012
730.0,3.575,0.5414
735.0,3.338,0.4968
740.0,3.149,0.4647
745.0,3.004,0.4424
750.0,2.894,0.4279
755.0,2.809,0.4195
760.0,2.742,0.4157
765.0,2.684,0.4154
770.0,2.631,0.418
775.0,2.582,0.4226
780.0,2.5340000000000003,0.4288
785.0,2.487,0.4363
790.0,2.441,0.4448
795.0,2.398,0.4541
800.0,2.356,0.4641
805.0,2.317,0.4746
810.0,2.28,0.4856
815.0,2.246,0.4969
820.0,2.214,0.5085
825.0,2.184,0.5203
830.0,2.155,0.5322
835.0,2.127,0.5443
840.0,2.1,0.5563
845.0,2.073,0.5683
850.0,2.047,0.5802
855.0,2.021,0.5920000000000001
860.0,1.996,0.6036
865.0,1.97,0.6151
870.0,1.945,0.6263
875.0,1.919,0.6374
880.0,1.894,0.6483
885.0,1.87,0.6589
890.0,1.846,0.6694
895.0,1.822,0.6796
900.0,1.7990000000000002,0.6897
905.0,1.777,0.6996
910.0,1.755,0.7092
915.0,1.733,0.7187
920.0,1.712,0.7281
925.0,1.6909999999999998,0.7372
930.0,1.67,0.7462
935.0,1.65,0.755
940.0,1.63,0.7637
945.0,1.611,0.7722
950.0,1.591,0.7806
955.0,1.5719999999999998,0.7887
960.0,1.5530000000000002,0.7968
965.0,1.535,0.8047
970.0,1.516,0.8124
975.0,1.4980000000000002,0.8199
980.0,1.48,0.8273
985.0,1.462,0.8346
990.0,1.445,0.8417
1000.0,1.41,0.8555
1041.0,1.28,0.9063
1050.0,1.254,0.9164
1100.0,1.119,0.9664
1150.0,1.001,1.008
1200.0,0.8982,1.042
1250.0,0.8083,1.071
1253.6,0.8023,1.073
1300.0,0.7291,1.095
1350.0,0.6595,1.116
1400.0,0.598,1.133
1450.0,0.5433,1.147
1486.6,0.5073,1.156
1500.0,0.4949,1.159
