energy,cross_section,asymmetry_parameter
25.0,0.1497,2
26.86,0.1894,2
30.0,0.2425,2
35.0,0.2943,2
40.0,0.3162,2
40.81,0.3177,2
45.0,0.3189,2
50.0,0.3101,2
55.0,0.2952,2
60.0,0.2776,2
65.0,0.2594,2
70.0,0.2418,2
75.0,0.2252,2
80.0,0.21,2
85.0,0.1961,2
90.0,0.1836,2
95.0,0.1722,2
100.0,0.1618,2
105.0,0.1523,2
110.0,0.1436,2
115.0,0.1357,2
120.0,0.1283,2
125.0,0.1216,2
130.0,0.1153,2
132.3,0.1126,2
135.0,0.1095,2
140.0,0.1041,2
145.0,0.09908,2
150.0,0.09444,2
151.4,0.0932,2
155.0,0.09012,2
160.0,0.08612,2
165.0,0.08238999999999999,2
170.0,0.07892,2
175.0,0.07569,2
180.0,0.07267,2
185.0,0.06985,2
190.0,0.06722,2
195.0,0.06473999999999999,2
200.0,0.06242,2
205.0,0.06023,2
210.0,0.05816,2
215.0,0.0562,2
220.0,0.05435,2
225.0,0.05259,2
230.0,0.05092,2
235.0,0.04933,2
240.0,0.047810000000000005,2
245.0,0.04637,2
250.0,0.04499,2
255.0,0.04367,2
260.0,0.04241,2
265.0,0.0412,2
270.0,0.04004,2
275.0,0.03894,2
280.0,0.03788,2
285.0,0.03687,2
290.0,0.03589,2
295.0,0.034960000000000005,2
300.0,0.03406,2
305.0,0.0332,2
310.0,0.03238,2
315.0,0.03159,2
320.0,0.03082,2
340.0,0.02804,2
360.0,0.02564,2
380.0,0.02354,2
400.0,0.02169,2
420.0,0.02007,2
440.0,0.01862,2
460.0,0.01734,2
480.0,0.01619,2
500.0,0.01516,2
520.0,0.014219999999999997,2
540.0,0.013369999999999998,2
560.0,0.0126,2
580.0,0.01189,2
600.0,0.01124,2
620.0,0.01064,2
640.0,0.01009,2
660.0,0.009578,2
680.0,0.009107,2
700.0,0.008669,2
720.0,0.008262,2
740.0,0.007883,2
760.0,0.0075299999999999985,2
780.0,0.0072,2
800.0,0.0068920000000000006,2
850.0,0.006205,2
900.0,0.0056170000000000005,2
950.0,0.005109000000000001,2
1000.0,0.004667,2
1041.0,0.004346,2
1050.0,0.00428,2
1100.0,0.003939,2
1150.0,0.003638,2
1200.0,0.003369,2
1250.0,0.00313,2
1253.6,0.003113,2
1300.0,0.002916,2
1350.0,0.002722,2
1400.0,0.002549,2
1450.0,0.00239,2
1486.6,0.002284,2
1500.0,0.002247,2
