energy,cross_section,asymmetry_parameter
35.0,7.63,1.862
40.0,4.456,1.991
40.81,4.084,1.978
45.0,2.638,1.833
50.0,1.649,1.524
55.0,1.111,1.123
60.0,0.81,0.6995
65.0,0.6363,0.3226
70.0,0.5338,0.04125
75.0,0.4725,-0.1254
80.0,0.4358,-0.1873
85.0,0.4135,-0.1711
90.0,0.3997,-0.1058
95.0,0.3905,-0.01501
100.0,0.3838,0.08588
105.0,0.3784,0.1878
110.0,0.3734,0.2863
115.0,0.3685,0.379
120.0,0.3636,0.4655
125.0,0.3585,0.5455
130.0,0.3533,0.6194
132.3,0.3508,0.6514
135.0,0.3478,0.6875
140.0,0.342,0.75
145.0,0.3361,0.8074
150.0,0.3301,0.86
151.4,0.3283,0.8739
155.0,0.3239,0.9082
160.0,0.3176,0.9525
165.0,0.3114,0.9931
170.0,0.3051,1.031
175.0,0.2989,1.065
180.0,0.2927,1.097
185.0,0.2867,1.127
190.0,0.2807,1.154
195.0,0.2748,1.18
200.0,0.269,1.204
205.0,0.2633,1.227
210.0,0.2577,1.248
215.0,0.2522,1.268
220.0,0.2468,1.287
225.0,0.2415,1.305
230.0,0.2364,1.3219999999999998
235.0,0.2314,1.337
240.0,0.2264,1.352
245.0,0.2216,1.366
250.0,0.217,1.38
255.0,0.2124,1.392
260.0,0.208,1.404
265.0,0.2037,1.416
270.0,0.1995,1.426
275.0,0.1954,1.4369999999999998
280.0,0.1915,1.446
285.0,0.1876,1.455
290.0,0.1839,1.464
295.0,0.1802,1.473
300.0,0.1767,1.481
305.0,0.1732,1.489
310.0,0.1698,1.496
315.0,0.1665,1.503
320.0,0.1633,1.51
325.0,0.1602,1.516
330.0,0.1571,1.5219999999999998
340.0,0.1512,1.534
360.0,0.1404,1.555
380.0,0.1306,1.5719999999999998
400.0,0.1218,1.587
420.0,0.1137,1.599
440.0,0.1064,1.61
460.0,0.09974,1.62
480.0,0.09366,1.628
500.0,0.0881,1.635
520.0,0.08299,1.641
540.0,0.0783,1.646
560.0,0.07397000000000001,1.651
580.0,0.06996000000000001,1.654
600.0,0.06626,1.658
620.0,0.06284,1.66
640.0,0.05966000000000001,1.663
660.0,0.05671,1.665
680.0,0.05395,1.666
700.0,0.05138,1.6669999999999998
720.0,0.04898,1.668
740.0,0.04673,1.669
760.0,0.04463,1.669
780.0,0.04266,1.67
800.0,0.04081,1.67
850.0,0.03664,1.669
900.0,0.03304,1.6669999999999998
950.0,0.02992,1.665
1000.0,0.027180000000000003,1.662
1041.0,0.02519,1.66
1050.0,0.02478,1.659
1100.0,0.02266,1.655
1150.0,0.02079,1.651
1200.0,0.01911,1.6469999999999998
1250.0,0.01762,1.643
1253.6,0.017519999999999997,1.642
1300.0,0.016280000000000003,1.638
1350.0,0.015069999999999997,1.633
1400.0,0.01398,1.629
1450.0,0.013,1.624
1486.6,0.01233,1.62
1500.0,0.0121,1.619
