energy,cross_section,asymmetry_parameter
60.0,0.3072,2
80.0,0.3062,2
100.0,0.2678,2
120.0,0.2265,2
132.3,0.2048,2
140.0,0.1925,2
151.4,0.1756,2
160.0,0.1641,2
180.0,0.141,2
200.0,0.1224,2
220.0,0.1073,2
240.0,0.09467,2
260.0,0.08413,2
280.0,0.07532,2
300.0,0.06785,2
320.0,0.06145,2
340.0,0.05591,2
360.0,0.05111,2
380.0,0.04692,2
400.0,0.04324,2
420.0,0.03999,2
440.0,0.03709,2
460.0,0.03451,2
480.0,0.03219,2
500.0,0.03011,2
520.0,0.02823,2
540.0,0.02653,2
560.0,0.02498,2
580.0,0.02356,2
600.0,0.02226,2
620.0,0.02107,2
640.0,0.01998,2
660.0,0.01897,2
680.0,0.01804,2
700.0,0.01718,2
720.0,0.016380000000000002,2
740.0,0.01563,2
760.0,0.01494,2
780.0,0.01429,2
800.0,0.01368,2
850.0,0.01233,2
900.0,0.01117,2
950.0,0.01017,2
1000.0,0.009299,2
1041.0,0.008666,2
1050.0,0.008536,2
1100.0,0.007864,2
1150.0,0.0072689999999999986,2
1200.0,0.006739,2
1250.0,0.006265,2
1253.6,0.006233,2
1300.0,0.005838,2
1350.0,0.005455,2
1400.0,0.005107,2
1450.0,0.004790999999999999,2
1486.6,0.0045780000000000005,2
1500.0,0.004504,2
