energy,cross_section,asymmetry_parameter
195.0,0.5998,-0.8167
200.0,0.7254,-0.897
205.0,0.8066,-0.4677
210.0,0.7856,0.033
215.0,0.716,0.4411
220.0,0.6337,0.7468
225.0,0.5529999999999999,0.9542
230.0,0.4805,1.061
235.0,0.4195,1.065
240.0,0.3712,0.9686
245.0,0.3349,0.7853
250.0,0.3094,0.5379
255.0,0.2929,0.2557
260.0,0.284,-0.03108
265.0,0.2814,-0.2963
270.0,0.284,-0.5222
275.0,0.2906,-0.7
280.0,0.3005,-0.8290000000000001
285.0,0.3129,-0.9134
290.0,0.3272,-0.9603
295.0,0.3429,-0.9771
300.0,0.3596,-0.9707
305.0,0.3769,-0.9471
310.0,0.3948,-0.9112
315.0,0.4128,-0.8665
320.0,0.4309,-0.816
325.0,0.4488,-0.762
330.0,0.4665,-0.706
335.0,0.4837,-0.6493
340.0,0.5005,-0.5927
345.0,0.5166,-0.5369
350.0,0.5321,-0.4823
355.0,0.547,-0.4292
360.0,0.5611,-0.3777
365.0,0.5746,-0.3279
370.0,0.5873,-0.2798
375.0,0.5994,-0.2335
380.0,0.6108,-0.189
385.0,0.6215,-0.1461
390.0,0.6316,-0.1048
395.0,0.6409999999999999,-0.06504
400.0,0.6499,-0.02683
405.0,0.6579999999999999,0.009907
410.0,0.6656,0.04524
415.0,0.6726,0.07922
420.0,0.679,0.1119
425.0,0.6848,0.1433
430.0,0.6901,0.1736
435.0,0.6949,0.2027
440.0,0.6992,0.2307
445.0,0.7029,0.2577
450.0,0.7063,0.2837
455.0,0.7092,0.3088
460.0,0.7117,0.333
465.0,0.7138,0.3564
470.0,0.7156,0.379
475.0,0.7170000000000001,0.4008
480.0,0.718,0.422
485.0,0.7188,0.4424
500.0,0.7193,0.5001
520.0,0.7162,0.569
540.0,0.7097,0.6302
560.0,0.7004,0.6847
580.0,0.6891,0.7337
600.0,0.6762,0.7779
620.0,0.662,0.8179
640.0,0.6469,0.8543
660.0,0.6312,0.8875
680.0,0.615,0.9179
700.0,0.5987,0.9457
720.0,0.5823,0.9714
740.0,0.5659,0.995
760.0,0.5497,1.017
780.0,0.5336,1.037
800.0,0.5179,1.056
850.0,0.4799,1.097
900.0,0.4443,1.132
950.0,0.4111,1.162
1000.0,0.3806,1.187
1041.0,0.3573,1.205
1050.0,0.3524,1.208
1100.0,0.3265,1.227
1150.0,0.3029,1.242
1200.0,0.2812,1.256
1250.0,0.2613,1.268
1253.6,0.2599,1.268
1300.0,0.2431,1.278
1350.0,0.2264,1.286
1400.0,0.2111,1.294
1450.0,0.197,1.3
1486.6,0.1874,1.304
1500.0,0.1841,1.305
