energy,cross_section,asymmetry_parameter
420.0,0.1608,2
440.0,0.1563,2
460.0,0.1481,2
480.0,0.141,2
500.0,0.1347,2
520.0,0.1285,2
540.0,0.1228,2
560.0,0.1175,2
580.0,0.1126,2
600.0,0.1079,2
620.0,0.1034,2
640.0,0.09924,2
660.0,0.09533,2
680.0,0.09163,2
700.0,0.08812,2
720.0,0.0848,2
740.0,0.08167,2
760.0,0.07871,2
780.0,0.0759,2
800.0,0.07324,2
850.0,0.06715,2
900.0,0.06179,2
950.0,0.05704,2
1000.0,0.052820000000000006,2
1041.0,0.04969,2
1050.0,0.04904,2
1100.0,0.04565,2
1150.0,0.04261,2
1200.0,0.03986,2
1250.0,0.03736,2
1253.6,0.03719,2
1300.0,0.03509,2
1350.0,0.03302,2
1400.0,0.03113,2
1450.0,0.02939,2
1486.6,0.02822,2
1500.0,0.0278,2
