energy,cross_section,asymmetry_parameter
420.0,0.1785,2
440.0,0.1744,2
460.0,0.166,2
480.0,0.1578,2
500.0,0.1508,2
520.0,0.1439,2
540.0,0.1372,2
560.0,0.1311,2
580.0,0.1255,2
600.0,0.12,2
620.0,0.1149,2
640.0,0.1101,2
660.0,0.1055,2
680.0,0.1013,2
700.0,0.09724,2
720.0,0.09341,2
740.0,0.08979,2
760.0,0.08638,2
780.0,0.08316,2
800.0,0.08011,2
850.0,0.07313,2
900.0,0.06702000000000001,2
950.0,0.06161000000000001,2
1000.0,0.05682,2
1041.0,0.0533,2
1050.0,0.052570000000000006,2
1100.0,0.048760000000000005,2
1150.0,0.04534,2
1200.0,0.04227,2
1250.0,0.0395,2
1253.6,0.039310000000000005,2
1300.0,0.03698,2
1350.0,0.03469,2
1400.0,0.03261,2
1450.0,0.03071,2
1486.6,0.02941,2
1500.0,0.028960000000000007,2
