Energy [eV]	Cross Section	Asymmetry Parameter
670.0	0.1585	1.665
675.0	0.4877	1.655
680.0	0.6296	0.9836
685.0	0.6617	0.5617
690.0	0.6817	0.2942
695.0	0.6938	0.113
700.0	0.6965	-0.013859999999999999
705.0	0.6932	-0.1029
710.0	0.6887	-0.1645
715.0	0.6855	-0.20600000000000002
720.0	0.684	-0.2327
725.0	0.6837	-0.2487
730.0	0.6835	-0.2566
735.0	0.6829	-0.2584
740.0	0.6818	-0.2554
745.0	0.6803	-0.2486
750.0	0.6788	-0.2387
755.0	0.6775	-0.2262
760.0	0.6766	-0.2117
765.0	0.6759	-0.1957
770.0	0.6754	-0.1785
775.0	0.6748	-0.1605
780.0	0.6742	-0.142
785.0	0.6734	-0.1232
790.0	0.6724	-0.1041
795.0	0.6713	-0.08478
800.0	0.6701	-0.0654
805.0	0.6689	-0.045939999999999995
810.0	0.6678	-0.026439999999999998
815.0	0.6667	-0.006931999999999999
820.0	0.6656	0.01252
825.0	0.6645	0.031869999999999996
830.0	0.6634	0.05105
835.0	0.6622	0.07002
840.0	0.6609999999999999	0.08872999999999999
845.0	0.6597	0.1071
850.0	0.6582	0.1253
855.0	0.6567	0.1431
860.0	0.6552	0.1605
865.0	0.6535	0.1778
870.0	0.6519	0.1947
875.0	0.6502	0.2114
880.0	0.6485	0.2278
885.0	0.6468	0.2439
890.0	0.6451	0.2598
895.0	0.6434	0.2755
900.0	0.6416	0.2909
905.0	0.6398	0.306
910.0	0.6379	0.3209
915.0	0.636	0.3355
920.0	0.634	0.3498
925.0	0.632	0.3638
930.0	0.63	0.3775
935.0	0.6279	0.391
940.0	0.6257	0.4043
945.0	0.6236	0.4172
950.0	0.6214	0.43
955.0	0.6193	0.4425
960.0	0.6171	0.4548
965.0	0.6149	0.4669
1000.0	0.599	0.5459
1041.0	0.5794	0.6267
1050.0	0.575	0.643
1100.0	0.5505	0.725
1150.0	0.5259	0.7949
1200.0	0.5018	0.8549
1250.0	0.4782	0.9068
1253.6	0.4766	0.9103
1300.0	0.4555	0.9520000000000001
1350.0	0.4336	0.9917
1400.0	0.4127	1.0270000000000001
1450.0	0.3928	1.057
1486.6	0.3788	1.078
1500.0	0.3738	1.085
