Energy [eV]	Cross Section	Asymmetry Parameter
25.0	7.38	1.6580000000000001
26.86	5.971	1.7790000000000001
30.0	4.046	1.838
35.0	2.202	1.807
40.0	1.287	1.66
40.81	1.19	1.626
45.0	0.8225	1.419
50.0	0.5711	1.1159999999999999
55.0	0.4265	0.792
60.0	0.3395	0.489
65.0	0.2853	0.2413
70.0	0.2504	0.06448999999999999
75.0	0.22699999999999998	-0.04448
80.0	0.2103	-0.0987
85.0	0.1979	-0.1129
90.0	0.188	-0.09952000000000001
95.0	0.1799	-0.06752999999999999
100.0	0.1731	-0.02349
105.0	0.1671	0.027839999999999997
110.0	0.1617	0.08294
115.0	0.1568	0.1393
120.0	0.1523	0.1951
125.0	0.14800000000000002	0.2494
130.0	0.14400000000000002	0.3015
132.3	0.1422	0.3246
135.0	0.1402	0.3512
140.0	0.1365	0.3987
145.0	0.133	0.4439
150.0	0.1296	0.4871
151.4	0.1286	0.4988
155.0	0.1263	0.5283
160.0	0.1232	0.5677
165.0	0.1201	0.6052
170.0	0.1172	0.6409
175.0	0.1144	0.6749
180.0	0.1116	0.7071
185.0	0.109	0.7377
190.0	0.1065	0.7667
195.0	0.10400000000000001	0.7942
200.0	0.1017	0.8204
205.0	0.09942000000000001	0.8454
210.0	0.09722	0.8693
215.0	0.0951	0.8921
220.0	0.09305	0.9141
225.0	0.09107	0.9351
230.0	0.08914	0.9554
235.0	0.08728	0.9749
240.0	0.08548	0.9936
245.0	0.08373	1.012
250.0	0.08204	1.0290000000000001
255.0	0.08039	1.045
260.0	0.0788	1.061
265.0	0.07726	1.077
270.0	0.07576000000000001	1.092
275.0	0.07431	1.1059999999999999
280.0	0.0729	1.119
285.0	0.07153999999999999	1.133
290.0	0.07021000000000001	1.145
295.0	0.06892999999999999	1.158
300.0	0.06767999999999999	1.17
305.0	0.06646	1.181
310.0	0.06527999999999999	1.193
315.0	0.06412999999999999	1.203
320.0	0.06301	1.214
340.0	0.05882999999999999	1.253
360.0	0.055060000000000005	1.288
380.0	0.05167000000000001	1.319
400.0	0.048589999999999994	1.347
420.0	0.04579	1.3730000000000002
440.0	0.043230000000000005	1.396
460.0	0.04088	1.416
480.0	0.03873	1.436
500.0	0.03675	1.453
520.0	0.03492	1.469
540.0	0.03323	1.484
560.0	0.03166	1.4980000000000002
580.0	0.0302	1.511
600.0	0.028839999999999998	1.5230000000000001
620.0	0.02758	1.534
640.0	0.026389999999999997	1.544
660.0	0.02528	1.554
680.0	0.02425	1.5630000000000002
700.0	0.02327	1.571
720.0	0.02235	1.579
740.0	0.021490000000000002	1.587
760.0	0.02068	1.594
780.0	0.01991	1.6
800.0	0.019180000000000003	1.607
850.0	0.01754	1.621
900.0	0.0161	1.633
950.0	0.014830000000000001	1.6440000000000001
1000.0	0.0137	1.653
1041.0	0.01288	1.66
1050.0	0.0127	1.661
1100.0	0.01181	1.669
1150.0	0.011009999999999999	1.675
1200.0	0.01029	1.681
1250.0	0.009636	1.686
1253.6	0.009590999999999999	1.686
1300.0	0.009046	1.6909999999999998
1350.0	0.008506999999999999	1.695
1400.0	0.008017	1.6980000000000002
1450.0	0.007568000000000001	1.7009999999999998
1486.6	0.0072629999999999995	1.703
1500.0	0.007156	1.704
